signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG51685_5,300822,贝仕达克,2024-02-06,2024-02-07,ADD_ON_4,43.82504654878196,T3_赚1-5%
SIG50781_5,301099,雅创电子,2024-02-05,2024-02-06,ADD_ON_4,43.76848014873609,T3_赚1-5%
SIG49312_2,002180,纳思达,2024-01-30,2024-01-31,ADD_ON_1,43.75142427554581,T3_赚1-5%
SIG52098_4,300663,科蓝软件,2024-02-05,2024-02-06,ADD_ON_3,43.74378677557162,T3_赚1-5%
SIG6991_5,300356,光一科技,2021-02-08,2021-02-09,ADD_ON_4,43.73091296168221,T3_赚1-5%
SIG58599_5,688403,汇成股份,2024-09-18,2024-09-19,ADD_ON_4,43.72130936548117,T3_赚1-5%
SIG60492_2,688005,容百科技,2024-09-18,2024-09-19,ADD_ON_1,43.7024513947591,T3_赚1-5%
SIG50266_5,603258,电魂网络,2024-02-06,2024-02-07,ADD_ON_4,43.68182153417053,T3_赚1-5%
SIG31102_2,605266,健之佳,2022-09-26,2022-09-27,ADD_ON_1,43.67199180952763,T3_赚1-5%
SIG50856_3,688270,臻镭科技,2024-02-05,2024-02-06,ADD_ON_2,43.654595533133914,T3_赚1-5%
SIG10392_2,688200,华峰测控,2021-05-07,2021-05-10,ADD_ON_1,43.65067556556918,T3_赚1-5%
SIG16151_1,002459,晶澳科技,2021-09-22,2021-09-23,NEW_ENTRY,43.64375504819011,T3_赚1-5%
SIG54170_3,300333,兆日科技,2024-06-03,2024-06-04,ADD_ON_2,43.63626803818192,T3_赚1-5%
SIG17491_1,300491,通合科技,2021-10-15,2021-10-18,NEW_ENTRY,43.633456326954786,T3_赚1-5%
SIG59939_2,002537,海联金汇,2024-09-18,2024-09-19,ADD_ON_1,43.61959393671868,T3_赚1-5%
SIG17862_1,300860,锋尚文化,2021-10-27,2021-10-28,NEW_ENTRY,43.61601418612206,T3_赚1-5%
SIG52466_2,603950,长源东谷,2024-02-05,2024-02-06,ADD_ON_1,43.61149055026607,T3_赚1-5%
SIG51121_3,300165,天瑞仪器,2024-02-05,2024-02-06,ADD_ON_2,43.6063936063936,T3_赚1-5%
SIG23119_1,600322,津投城开,2022-03-09,2022-03-10,NEW_ENTRY,43.57501794687726,T3_赚1-5%
SIG59275_3,300476,胜宏科技,2024-09-04,2024-09-05,ADD_ON_2,43.54886785786858,T3_赚1-5%
SIG59992_2,300151,昌红科技,2024-09-18,2024-09-19,ADD_ON_1,43.54295921785038,T3_赚1-5%
SIG50784_4,301153,中科江南,2024-02-05,2024-02-06,ADD_ON_3,43.53367098791394,T3_赚1-5%
SIG52978_2,603121,华培动力,2024-02-06,2024-02-07,ADD_ON_1,43.532689907057545,T3_赚1-5%
SIG61015_1,300566,激智科技,2024-09-13,2024-09-18,NEW_ENTRY,43.514302806338215,T3_赚1-5%
SIG3902_1,300589,江龙船艇,2020-08-20,2020-08-21,NEW_ENTRY,43.51131102400138,T3_赚1-5%
SIG1515_1,000505,京粮控股,2020-03-18,2020-03-19,NEW_ENTRY,43.502905933845184,T3_赚1-5%
SIG37503_1,688205,德科立,2023-03-15,2023-03-16,NEW_ENTRY,43.49835275388596,T3_赚1-5%
SIG24579_3,002840,华统股份,2022-05-24,2022-05-25,ADD_ON_2,43.49016582821499,T3_赚1-5%
SIG24520_2,688733,壹石通,2022-04-25,2022-04-26,ADD_ON_1,43.48889622412599,T3_赚1-5%
SIG61175_1,002519,银河电子,2024-09-18,2024-09-19,NEW_ENTRY,43.488586884813316,T3_赚1-5%
SIG25824_1,603628,清源股份,2022-04-26,2022-04-27,NEW_ENTRY,43.47988126295636,T3_赚1-5%
SIG34496_1,002334,英威腾,2022-12-22,2022-12-23,NEW_ENTRY,43.47354772886691,T3_赚1-5%
SIG40240_1,688525,佰维存储,2023-05-12,2023-05-15,NEW_ENTRY,43.46634849419735,T3_赚1-5%
SIG13890_2,300559,佳发教育,2021-07-16,2021-07-19,ADD_ON_1,43.4560369921587,T3_赚1-5%
SIG52172_3,301280,珠城科技,2024-02-02,2024-02-05,ADD_ON_2,43.454779216368635,T3_赚1-5%
SIG32945_3,002927,泰永长征,2022-12-22,2022-12-23,ADD_ON_2,43.45410686874102,T3_赚1-5%
SIG27351_1,002369,卓翼科技,2022-07-15,2022-07-18,NEW_ENTRY,43.452606506793714,T3_赚1-5%
SIG52103_4,300688,创业黑马,2024-02-05,2024-02-06,ADD_ON_3,43.43782938824263,T3_赚1-5%
SIG44447_1,601666,平煤股份,2023-08-21,2023-08-22,NEW_ENTRY,43.43272621418319,T3_赚1-5%
SIG30441_1,300396,迪瑞医疗,2022-09-16,2022-09-19,NEW_ENTRY,43.41788833470907,T3_赚1-5%
SIG23940_1,603500,祥和实业,2022-03-15,2022-03-16,NEW_ENTRY,43.41059637226887,T3_赚1-5%
SIG17420_1,600481,双良节能,2021-10-13,2021-10-14,NEW_ENTRY,43.40498211465953,T3_赚1-5%
SIG52373_3,603090,宏盛股份,2024-02-06,2024-02-07,ADD_ON_2,43.40073628611176,T3_赚1-5%
SIG52261_3,600557,康缘药业,2024-02-02,2024-02-05,ADD_ON_2,43.39826839826841,T3_赚1-5%
SIG18169_2,603657,春光科技,2021-11-02,2021-11-03,ADD_ON_1,43.397804867738046,T3_赚1-5%
SIG23844_1,600740,山西焦化,2022-03-15,2022-03-16,NEW_ENTRY,43.39272894405974,T3_赚1-5%
SIG33155_3,603105,芯能科技,2022-12-21,2022-12-22,ADD_ON_2,43.38505682281446,T3_赚1-5%
SIG37704_1,688300,联瑞新材,2023-03-16,2023-03-17,NEW_ENTRY,43.38263933077548,T3_赚1-5%
SIG33155_1,603105,芯能科技,2022-12-13,2022-12-14,NEW_ENTRY,43.35225827644027,T3_赚1-5%
