horizon,bin,count,pct
D1,< -30%,0,0.0
D1,"[-30,-20)",5,0.003175228140141869
D1,"[-20,-15)",141,0.08954143355200071
D1,"[-15,-10)",889,0.5645555633172243
D1,"[-10,-8)",1655,1.0510005143869587
D1,"[-8,-5)",5881,3.7347033384348665
D1,"[-5,-3)",11765,7.471311813753818
D1,"[-3,-1)",31627,20.08458807765338
D1,"[-1,0)",27717,17.60155967206244
D1,"[0,1)",32098,20.383694568454743
D1,"[1,3)",31163,19.789926906248215
D1,"[3,5)",9139,5.803681994551309
D1,"[5,8)",3743,2.3769757857102034
D1,"[8,10)",1020,0.6477465405889413
D1,"[10,15)",525,0.3333989547148963
D1,"[15,20)",82,0.05207374149832666
D1,"[20,30)",19,0.012065866932539103
D1,>=30%,0,0.0
D3,< -30%,57,0.0362150794508015
D3,"[-30,-20)",811,0.515270691835088
D3,"[-20,-15)",1266,0.8043559751704333
D3,"[-15,-10)",2843,1.806306506642608
D3,"[-10,-8)",2932,1.8628528587675437
D3,"[-8,-5)",9794,6.22264014282719
D3,"[-5,-3)",15386,9.775530042632138
D3,"[-3,-1)",28226,17.933453203128476
D3,"[-1,0)",17455,11.090073891469125
D3,"[0,1)",16914,10.746348312822045
D3,"[1,3)",25985,16.509628763668015
D3,"[3,5)",15627,9.928649939959211
D3,"[5,8)",11471,7.288125901406034
D3,"[8,10)",3431,2.1798936420298234
D3,"[10,15)",3480,2.211025903312091
D3,"[15,20)",1065,0.676650168686028
D3,"[20,30)",556,0.3532558627130813
D3,>=30%,94,0.05972311348026914
D5,< -30%,363,0.2321328081035453
D5,"[-30,-20)",844,0.539724765948739
D5,"[-20,-15)",998,0.6382053512047885
D5,"[-15,-10)",3771,2.4114953701335247
D5,"[-10,-8)",3917,2.5048600808308183
D5,"[-8,-5)",12371,7.91106052079603
D5,"[-5,-3)",16209,10.365401340359135
D5,"[-3,-1)",23392,14.958817209802017
D5,"[-1,0)",13572,8.679081188929247
D5,"[0,1)",13213,8.44950631810508
D5,"[1,3)",22860,14.618611551644753
D5,"[3,5)",15932,10.188264183762215
D5,"[5,8)",13794,8.821046707934721
D5,"[8,10)",5140,3.2869494040006138
D5,"[10,15)",6109,3.9066097099299126
D5,"[15,20)",2150,1.3748912876656265
D5,"[20,30)",1342,0.8581879572312887
D5,>=30%,399,0.2551542436179465
D10,< -30%,884,0.5704992513810728
D10,"[-30,-20)",2865,1.8489596778357167
D10,"[-20,-15)",3286,2.120656719500232
D10,"[-15,-10)",7046,4.54721462130208
D10,"[-10,-8)",5620,3.626929629820848
D10,"[-8,-5)",14447,9.323532448758325
D10,"[-5,-3)",14562,9.397748980329393
D10,"[-3,-1)",17828,11.5054984769477
D10,"[-1,0)",9736,6.283236098920956
D10,"[0,1)",9525,6.147064897516651
D10,"[1,3)",16690,10.771077494966184
D10,"[3,5)",13136,8.477463988848159
D10,"[5,8)",14016,9.045381795652848
D10,"[8,10)",6441,4.156771129123857
D10,"[10,15)",9213,5.945712220558624
D10,"[15,20)",4463,2.8802467861015026
D10,"[20,30)",3279,2.1161391914915586
D10,>=30%,1915,1.2358665909442925
D20,< -30%,1298,0.8410385335605477
D20,"[-30,-20)",3097,2.0066997984876855
D20,"[-20,-15)",5143,3.332404605625498
D20,"[-15,-10)",11828,7.663947438331401
D20,"[-10,-8)",7297,4.7280879656327555
D20,"[-8,-5)",14866,9.632418212566334
D20,"[-5,-3)",12360,8.008656606169776
D20,"[-3,-1)",13098,8.486843384110982
D20,"[-1,0)",6633,4.297849455398392
D20,"[0,1)",6576,4.260916330272852
D20,"[1,3)",12341,7.996345564461263
D20,"[3,5)",10641,6.894831306331114
D20,"[5,8)",13177,8.538031399635852
D20,"[8,10)",6960,4.509728962697544
D20,"[10,15)",11947,7.74105343640051
D20,"[15,20)",6571,4.257676582454821
D20,"[20,30)",6109,3.9583238840688644
D20,>=30%,4391,2.8451465337938098
