horizon,horizon_day,threshold,count,total_N,pct
D1,1,0.01,94528,157469,60.02959312626612
D1,1,0.02,51771,157469,32.876947208656944
D1,1,0.03,28892,157469,18.347738284995778
D1,1,0.04,17067,157469,10.838323733560257
D1,1,0.05,10566,157469,6.709892105747799
D1,1,0.06,6765,157469,4.296083673611949
D1,1,0.08,3072,157469,1.9508601693031642
D1,1,0.1,1176,157469,0.7468136585613677
D1,1,0.12,496,157469,0.31498263150207345
D1,1,0.15,201,157469,0.12764417123370314
D1,1,0.2,30,157469,0.019051368840851214
D1,1,0.25,4,157469,0.0025401825121134955
D1,1,0.3,1,157469,0.0006350456280283739
D2,2,0.01,110976,157469,70.47482361607682
D2,2,0.02,75484,157469,47.93578418609377
D2,2,0.03,51445,157469,32.66992233391969
D2,2,0.04,35430,157469,22.499666601045284
D2,2,0.05,24558,157469,15.595450533120806
D2,2,0.06,17220,157469,10.935485714648598
D2,2,0.08,9011,157469,5.722396154163676
D2,2,0.1,4946,157469,3.1409356762283367
D2,2,0.12,2859,157469,1.8155954505331209
D2,2,0.15,1338,157469,0.8496910503019641
D2,2,0.2,432,157469,0.27433971130825746
D2,2,0.25,103,157469,0.0654096996869225
D2,2,0.3,43,157469,0.027306962005220075
D3,3,0.01,119461,157469,75.86318576989757
D3,3,0.02,88658,157469,56.30187528973957
D3,3,0.03,65940,157469,41.87490871219097
D3,3,0.04,49255,157469,31.279172408537555
D3,3,0.05,36836,157469,23.39254075405318
D3,3,0.06,27560,157469,17.50185750846198
D3,3,0.08,15968,157469,10.140408588357074
D3,3,0.1,9443,157469,5.996735865471934
D3,3,0.12,5912,157469,3.7543897529037458
D3,3,0.15,3101,157469,1.9692764925159874
D3,3,0.2,1208,157469,0.7671351186582755
D3,3,0.25,459,157469,0.2914859432650236
D3,3,0.3,206,157469,0.130819399373845
D4,4,0.01,124439,157469,79.02444290622282
D4,4,0.02,96762,157469,61.4482850592815
D4,4,0.03,75375,157469,47.86656421263868
D4,4,0.04,58942,157469,37.43085940724841
D4,4,0.05,46235,157469,29.361334611891866
D4,4,0.06,36154,157469,22.959439635737827
D4,4,0.08,22549,157469,14.319643866411802
D4,4,0.1,14136,157469,8.977004997809093
D4,4,0.12,9316,157469,5.916085070712331
D4,4,0.15,5309,157469,3.3714572392026367
D4,4,0.2,2275,157469,1.4447288037645505
D4,4,0.25,1001,157469,0.6356806736564022
D4,4,0.3,497,157469,0.3156176771301018
D5,5,0.01,128212,157469,81.42047006077387
D5,5,0.02,103293,157469,65.59576805593483
D5,5,0.03,83139,157469,52.797058468650974
D5,5,0.04,67065,157469,42.58933504372289
D5,5,0.05,54035,157469,34.31469051051318
D5,5,0.06,43486,157469,27.615594180441867
D5,5,0.08,28443,157469,18.06260279801104
D5,5,0.1,18698,157469,11.874083152874535
D5,5,0.12,12693,157469,8.060634156564149
D5,5,0.15,7517,157469,4.773637985889287
D5,5,0.2,3485,157469,2.213134013678883
D5,5,0.25,1621,157469,1.029408963033994
D5,5,0.3,841,157469,0.5340733731718624
D6,6,0.01,131129,157469,83.27289815773263
D6,6,0.02,108332,157469,68.7957629755698
D6,6,0.03,89256,157469,56.68163257530053
D6,6,0.04,73541,157469,46.70189053083464
D6,6,0.05,60444,157469,38.38469794054703
D6,6,0.06,49577,157469,31.48365710076269
D6,6,0.08,33547,157469,21.303875683467858
D6,6,0.1,22726,157469,14.432046942572823
D6,6,0.12,15919,157469,10.109291352583682
D6,6,0.15,9763,157469,6.199950466441013
D6,6,0.2,4742,157469,3.011386368110549
D6,6,0.25,2398,157469,1.5228394160120404
