horizon,horizon_day,N,missing_N,mean,P5,P10,P25,P50,P75,P90,P95
D1,1,157469,0,-0.0021769104934628645,-0.05221728613212693,-0.03551887602658819,-0.015999015999015986,-0.0004424544814515263,0.012501012501012543,0.02854631505278471,0.04194791331567158
D2,2,157418,51,-0.0004800381233423657,-0.06422691232817812,-0.04479226550175957,-0.021259551680768318,-0.0009990009990008542,0.020176830650646238,0.043839463947183965,0.062358807370312505
D3,3,157393,76,0.0007256128341123453,-0.08017306140350978,-0.05414671892579912,-0.02459744979430023,-5.4765650228549845e-05,0.026559647249302598,0.05850210640053488,0.08328121328925854
D4,4,157319,150,0.003552962934004453,-0.08270464725303939,-0.05712265262827043,-0.026342148019942946,0.0012818231996314378,0.031415607587625516,0.06842291196479909,0.098901098901099
D5,5,156376,1093,0.005181908127374923,-0.08893148947546439,-0.06294233471014454,-0.029396998940145913,0.002103486575536273,0.03646012705896223,0.07859620054742011,0.11223321032199385
D6,6,156257,1212,0.007132650041658335,-0.09352288299656719,-0.06629393596077757,-0.03134920723663914,0.002398961582635195,0.039836076332426806,0.0861621599876635,0.12381799178615588
D7,7,155211,2258,0.00838081383869118,-0.10147206577691231,-0.07216793760329376,-0.03361584824711217,0.003016276328173584,0.042763366193703245,0.093710300638286,0.1356638365813715
D8,8,155152,2317,0.008406871641288971,-0.1122751576969313,-0.07872179768154786,-0.03656517514936833,0.0022587224563684893,0.04468427143869591,0.10019819716483475,0.14804963204919108
D9,9,155022,2447,0.008216590593283215,-0.12606214548556818,-0.0860506925289451,-0.03975886933754236,0.0016685584108815377,0.04725033098432724,0.10700110700110699,0.1604950348480397
D10,10,154952,2517,0.006781338634721494,-0.14230506335769483,-0.09411669701924888,-0.04314468165501986,0.0012922856959555196,0.050960053596219856,0.11416331705410937,0.167531947164136
D11,11,154539,2930,0.006742787018534996,-0.14857541166944951,-0.09856825027456503,-0.045399045399045324,0.001084421313827022,0.05450105450105447,0.12244955229193935,0.17802563492882467
D12,12,154443,3026,0.006148723657787338,-0.15232947511113024,-0.10122433816093765,-0.0477565140651765,0.00023281280987830222,0.05565903140530015,0.12550391880000822,0.18143771819159485
D13,13,154403,3066,0.008459691376967343,-0.15169283426688018,-0.10110764530951266,-0.04724904724904716,0.0016161848622582298,0.058941058941059055,0.13017743883796143,0.18973482266144243
D14,14,154351,3118,0.009839248516823365,-0.14913983355047977,-0.10293787844808244,-0.04871248154830243,0.0018032458425167874,0.06111505075235657,0.13442113442113457,0.19388978499977083
D15,15,154347,3122,0.010805746006068274,-0.1503744268596698,-0.10499969150995547,-0.050124790912081996,0.0018827326519634813,0.0624826678338386,0.13820227400661272,0.19953766367314082
D16,16,154344,3125,0.011719964694724638,-0.1520753781088957,-0.10734426863459123,-0.05128761775865745,0.001920987696236609,0.06430019183410501,0.1414479333554479,0.2040770033187184
D17,17,154342,3127,0.012476048129538723,-0.15340975815277685,-0.11004488469277185,-0.053076813507429405,0.0019355193130711212,0.06619385662016353,0.1454505457585224,0.2106755283655842
D18,18,154341,3128,0.013183173879163592,-0.15646944385375938,-0.1131317661929907,-0.05497233817043845,0.002255073916311856,0.06823072173595945,0.1491291639714647,0.21722249381823833
D19,19,154337,3132,0.0138082463111995,-0.159132960686104,-0.11657072325056132,-0.05729761844869741,0.0018390700208883448,0.07016993560529161,0.15398474413451357,0.2242407711314237
D20,20,154333,3136,0.014857093325271917,-0.16312286192958542,-0.1202399767944501,-0.05904022872087489,0.0024667440105430316,0.07337457495186217,0.15988880033823882,0.23379118573541702
