horizon,horizon_day,N,missing_N,mean,P5,P10,P25,P50,P75,P90,P95
D1,1,157469,0,0.01849781407842178,-0.0009990009990008542,0.0009408067660494623,0.005734756336585933,0.013136138710953205,0.02455089667365895,0.04160545337015931,0.05648102712681985
D2,2,157469,0,0.02768865510029768,-0.0007083739774896179,0.0022608550752099004,0.00826530501955558,0.018901417307791935,0.03712077396287938,0.06260498045528558,0.0842774941152329
D3,3,157469,0,0.035494509587566676,0.00030347748731074375,0.0033163380895564476,0.010395050130149519,0.0240017979956062,0.04767027843950933,0.08041522268005824,0.10759511140445654
D4,4,157469,0,0.04219205526106109,0.0008597438514092561,0.004163794861469228,0.01212108716799154,0.028255908950052255,0.056587522752936215,0.09553946632752092,0.1288659019201859
D5,5,157469,0,0.04834225635354209,0.0013351134846462998,0.004880275125623435,0.013883695447941324,0.032429603858175504,0.06469494224596284,0.10848056053535515,0.14733039224011835
D6,6,157469,0,0.05395615650437464,0.001783731588745674,0.005595065001005706,0.015513412207627031,0.036511381338967475,0.07168551612996077,0.12060997508885295,0.1642511978454604
D7,7,157469,0,0.05914918365555275,0.002239251834065703,0.00622781473845313,0.01698481536465346,0.03986922168740348,0.07791867061313629,0.13257278854599783,0.18030070474486817
D8,8,157469,0,0.06418520471255014,0.0025610973055859364,0.0067332048756196805,0.018299881936245654,0.04288098431583065,0.08333771491666231,0.14378407064829515,0.19864006573653006
D9,9,157469,0,0.06931342531141202,0.002926346737741836,0.007252328838231971,0.019493327185635012,0.04560878041541039,0.08882942670408633,0.15420399824750822,0.2157802606827269
D10,10,157469,0,0.07408109069481889,0.0032340540815118946,0.00771828520519624,0.020718412022759924,0.04838981243475615,0.0945941545310629,0.16466573314403504,0.23075465546698698
D11,11,157469,0,0.07817183253532183,0.0035117434811604573,0.00816614578082464,0.021766954559538698,0.05085226192492631,0.09952940141619382,0.17440775980283293,0.24490893721662976
D12,12,157469,0,0.08208715440705763,0.0037468469772510282,0.008596500447525735,0.02278673707245149,0.053267719934386726,0.10472052219625039,0.18412472335677665,0.2586371559508267
D13,13,157469,0,0.08566113321143304,0.003937425201856693,0.008916935467804032,0.02374405779978561,0.05550873707298298,0.1094304153430119,0.1926058437686345,0.2706423277782976
D14,14,157469,0,0.08923505315431493,0.004157133189391482,0.009299978372143247,0.024857495445730793,0.057765763648116586,0.1142703450395759,0.20114489615955877,0.28266794933461625
D15,15,157469,0,0.09261850801732761,0.004343250332555204,0.009615218778565549,0.02584555559603552,0.05998131132781048,0.11867955499733585,0.20920678111353752,0.2935423409411918
D16,16,157469,0,0.09579001859811286,0.004510702163033554,0.009948955154434724,0.02681044865199067,0.062137336001720556,0.1226715406779717,0.21677423139009666,0.303915819447568
D17,17,157469,0,0.09893678877094848,0.0046933123856203185,0.010251010251010273,0.027706205796597994,0.06418738494210219,0.12693542537640545,0.22420459914796892,0.3142972480825113
D18,18,157469,0,0.10205046288176288,0.004868225998698916,0.010556823165267293,0.02852310732745522,0.06603922393396089,0.13118497310593402,0.23138144187920545,0.3244492390873112
D19,19,157469,0,0.10512766863642523,0.005041273530773439,0.01086394245919311,0.02940019407799843,0.06784816045404729,0.13515516741323186,0.2386115673855317,0.3332122423031514
D20,20,157469,0,0.10820374986316048,0.0052076882316066464,0.011183938013206385,0.030210013450237216,0.06983481066610664,0.13946154744575456,0.2461566199703693,0.34174328208375865
