stop_pct,n_realized,n_censored,n_rescued,n_not_rescued,rescued_mean_ret,realized_only_mean,realized_only_p5,pessimistic_mean,pessimistic_p5,pessimistic_total_pnl,pessimistic_vs_realized_dmean
-10.0,89046,124,91,33,-10.818893248193024,2.5377280551767605,-9.703025293855998,2.486150197551691,-9.827322710510803,-128994858.9671096,-0.05157785762506961
-12.5,89046,124,85,39,-13.33591428120538,2.897175849910462,-10.710589787397106,2.8366980825078443,-10.776712192649422,-98817765.88076279,-0.060477767402617566
-15.0,89046,124,72,52,-15.662058864302177,3.158634248203834,-11.985541668440435,3.0832799935777606,-12.05375336723236,-70622935.70197368,-0.07535425462607348
-17.5,89046,124,66,58,-19.22405996828398,3.3648501935983033,-13.44697996185699,3.280897862299515,-13.505967242673123,-47241501.38481909,-0.08395233129878843
-20.0,89046,124,59,65,-21.34781514878615,3.530278804061087,-14.935844400533576,3.4383501771071563,-15.014078885291426,-24591952.40260631,-0.09192862695393078
-22.5,89046,124,54,70,-24.187319726250045,3.7058541120428976,-16.442256172596608,3.6075515307362833,-16.52387765564792,17610385.407375336,-0.09830258130661429
-25.0,89046,124,51,73,-28.96999287631965,3.869780470189568,-17.893916511592696,3.7659639128833464,-18.000001823178376,64862170.77082598,-0.10381655730622175
-27.5,89046,124,49,75,-32.01928724784271,3.9945139822993045,-19.35000815246307,3.887255209068965,-19.461504702736644,101625847.00618216,-0.10725877323033961
-30.0,89046,124,43,81,-34.28061041956403,4.130281789828125,-20.65224199668839,4.017169518997353,-20.788383891045996,156758585.42543277,-0.11311227083077213
-35.0,89046,124,40,84,-38.81424063718786,4.382972952841657,-21.3694373449419,4.2652645501093485,-21.76651190209947,297435604.4944649,-0.11770840273230831
-40.0,89046,124,35,89,-44.22307952143868,4.628028255270449,-16.615919177766006,4.5044252129142315,-17.102102681160485,458229248.79124963,-0.12360304235621733
