stop_pct,sample,n,collision_count,collision_pct
-10.0,PRIMARY,290,0,0.0
-10.0,SECONDARY,87620,32,0.03652134215932435
-12.5,PRIMARY,290,0,0.0
-12.5,SECONDARY,87620,34,0.03880392604428213
-15.0,PRIMARY,290,0,0.0
-15.0,SECONDARY,87620,32,0.03652134215932435
-17.5,PRIMARY,290,0,0.0
-17.5,SECONDARY,87620,27,0.030814882446929925
-20.0,PRIMARY,290,0,0.0
-20.0,SECONDARY,87620,29,0.0330974663318877
-22.5,PRIMARY,290,0,0.0
-22.5,SECONDARY,87620,21,0.023967130792056607
-25.0,PRIMARY,290,0,0.0
-25.0,SECONDARY,87620,20,0.022825838849577722
-27.5,PRIMARY,290,0,0.0
-27.5,SECONDARY,87620,13,0.014836795252225518
-30.0,PRIMARY,290,0,0.0
-30.0,SECONDARY,87620,6,0.006847751654873316
-35.0,PRIMARY,290,0,0.0
-35.0,SECONDARY,87620,5,0.0057064597123944304
-40.0,PRIMARY,290,0,0.0
-40.0,SECONDARY,87620,2,0.002282583884957772
