K,exit_mode,etf_mark,total,ann,mdd,sharpe,trades,wr,stock_pnl
1,current,close,249.55,21.62,-40.88,0.705,39,82.05,1147752.0
1,current,nav,249.55,21.62,-40.88,0.705,39,82.05,1147752.0
1,prev,close,140.34,14.7,-39.82,0.574,36,69.44,487511.0
1,prev,nav,140.34,14.7,-39.82,0.574,36,69.44,487511.0
1,close_confirm_next,close,31.12,4.33,-67.36,0.41,22,63.64,-12508.0
1,close_confirm_next,nav,31.12,4.33,-67.36,0.41,22,63.64,-12508.0
3,current,close,383.62,27.96,-45.43,0.681,103,75.73,2020726.0
3,current,nav,383.62,27.96,-45.43,0.681,103,75.73,2020726.0
3,prev,close,125.78,13.59,-45.69,0.57,93,66.67,470468.0
3,prev,nav,125.78,13.59,-45.69,0.57,93,66.67,470468.0
3,close_confirm_next,close,109.16,12.24,-55.01,0.522,65,66.15,464951.0
3,close_confirm_next,nav,109.16,12.24,-55.01,0.522,65,66.15,464951.0
