round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,000977.SZ,,2020-04-13,2020-05-07,TAKE_PROFIT_UB,1,5600,43847.32025520003,22.25,15
1,000725.SZ,,2020-04-28,2020-06-03,TAKE_PROFIT_UB,2,112300,82318.36085946002,20.59,23
2,000063.SZ,,2020-05-25,2020-06-19,TAKE_PROFIT_UB,1,5300,27923.33957292,14.19,19
3,002714.SZ,,2020-05-11,2020-06-22,TAKE_PROFIT_UB,1,1700,-71024.41090800002,-35.79,30
4,600703.SH,,2020-06-15,2020-07-07,TAKE_PROFIT_UB,1,8800,44468.048449439986,22.48,14
5,002456.SZ,,2020-09-01,2020-10-29,TAKE_PROFIT_UB,5,60300,-40804.72197911993,-4.09,36
6,601012.SH,,2020-11-13,2020-12-22,TAKE_PROFIT_UB,2,6000,122338.83667500003,30.91,27
7,300122.SZ,,2020-11-11,2020-12-22,TAKE_PROFIT_UB,2,3100,88237.01803949993,22.54,29
8,002475.SZ,,2020-11-16,2020-12-24,TAKE_PROFIT_UB,2,7400,16505.673823980032,4.2,28
9,002475.SZ,,2021-01-28,2021-04-20,TAKE_PROFIT_UB,2,4000,-55967.68862579999,-27.83,52
10,300750.SZ,,2021-01-29,2021-04-20,TAKE_PROFIT_UB,2,1000,4686.338487600035,1.33,51
11,002594.SZ,,2021-04-30,2021-06-11,TAKE_PROFIT_UB,3,3300,204871.19350896013,40.89,27
12,600031.SH,,2021-06-11,2021-08-04,TAKE_PROFIT_UB,4,25900,45383.97257856,6.4,37
13,002460.SZ,,2021-08-16,2021-08-31,TAKE_PROFIT_UB,2,2400,115305.18527088012,29.53,11
14,000858.SZ,,2021-09-16,2021-09-28,TAKE_PROFIT_UB,2,2000,48442.13504460006,12.38,6
15,300750.SZ,,2021-08-16,2021-10-11,TAKE_PROFIT_UB,1,400,22583.065032000013,11.82,33
16,601318.SH,,2021-01-28,2021-10-22,TAKE_PROFIT_UB,5,10900,-268195.96426986007,-31.07,174
17,000858.SZ,,2021-11-01,2021-11-25,TAKE_PROFIT_UB,2,1800,43583.2139991601,11.9,18
18,601919.SH,,2021-09-28,2021-12-01,TAKE_PROFIT_UB,3,36500,23939.689298580168,4.02,41
19,000651.SZ,,2021-10-27,2021-12-28,TAKE_PROFIT_UB,3,16500,25347.461845860118,4.27,44
20,600036.SH,,2021-11-26,2022-01-21,TAKE_PROFIT_UB,3,11900,24797.988729360164,4.23,39
21,000661.SZ,,2022-01-24,2022-02-28,TAKE_PROFIT_UB,2,2300,46890.91067363997,12.15,20
22,601012.SH,,2021-12-01,2022-03-02,TAKE_PROFIT_UB,5,10100,5536.104237679974,0.69,59
23,300059.SZ,,2022-01-05,2022-05-05,TAKE_PROFIT_UB,5,13200,-158037.14220666996,-34.96,76
24,000858.SZ,,2022-03-03,2022-05-31,TAKE_PROFIT_UB,4,3700,-29466.3310900199,-4.59,58
25,002415.SZ,,2022-05-06,2022-06-07,TAKE_PROFIT_UB,2,8100,412.05639816005714,0.15,21
26,300014.SZ,,2022-03-03,2022-06-07,TAKE_PROFIT_UB,3,7600,101037.51553896011,17.14,62
27,002241.SZ,,2022-06-23,2022-08-08,TAKE_PROFIT_UB,1,6100,3601.321778340003,1.81,32
28,600036.SH,,2022-07-13,2022-09-01,TAKE_PROFIT_UB,4,22300,-16177.700842379942,-2.04,36
29,601888.SH,,2022-08-08,2022-09-28,TAKE_PROFIT_UB,3,3200,52094.52236934006,8.88,36
30,002594.SZ,,2022-07-12,2022-11-07,TAKE_PROFIT_UB,5,2300,-64975.21248635999,-9.33,78
31,300750.SZ,,2022-09-01,2022-12-08,TAKE_PROFIT_UB,2,500,-15055.713925559976,-6.73,64
32,002241.SZ,,2022-11-11,2023-01-06,TAKE_PROFIT_UB,1,11500,17537.305084200023,8.8,39
33,300274.SZ,,2022-12-13,2023-04-19,TAKE_PROFIT_UB,3,4000,38850.25063904002,9.72,84
34,603799.SH,,2022-09-29,2023-07-20,TAKE_PROFIT_UB,5,14200,-210267.15848621994,-23.61,193
35,300014.SZ,,2023-01-11,2023-11-07,TAKE_PROFIT_UB,5,9400,-197459.98404104012,-30.58,197
36,300308.SZ,,2023-07-20,2023-12-11,TAKE_PROFIT_UB,2,3000,-39750.71498639998,-10.17,96
37,601318.SH,,2023-11-09,2024-01-26,TAKE_PROFIT_UB,3,10400,-19153.570498919988,-4.3,55
38,000568.SZ,,2023-12-11,2024-02-22,TAKE_PROFIT_UB,3,2000,-32818.748289299954,-9.26,46
39,000063.SZ,,2023-07-20,2024-02-28,TAKE_PROFIT_UB,4,8000,-70495.64463104995,-23.41,146
40,601318.SH,,2024-03-22,2024-05-20,TAKE_PROFIT_UB,1,4900,24541.58427336006,12.33,36
41,601012.SH,,2024-01-29,2024-05-23,TAKE_PROFIT_UB,5,39100,-27916.065589550068,-3.54,72
42,000977.SZ,,2024-05-28,2024-07-10,TAKE_PROFIT_UB,2,10800,22524.978603600117,5.69,30
43,000725.SZ,,2024-05-28,2024-07-11,TAKE_PROFIT_UB,3,145300,27108.614730780013,4.62,31
