feature_date,n_completed_episodes,max_exit_minus_feature_days
2021-01-21,7408,0
2022-07-27,26487,0
2020-05-08,1431,0
2021-06-08,11940,0
2021-07-12,12675,0
2021-02-09,7797,0
2022-10-31,29695,0
2020-09-01,3706,0
2021-04-20,10396,0
2021-01-28,7569,0
2022-10-24,29234,0
2022-12-19,32045,0
2022-05-17,22643,0
2022-08-09,26910,0
2022-12-26,32072,0
2021-06-21,12151,0
2021-05-24,11070,0
2022-10-19,28987,0
2022-03-02,20313,0
2021-08-23,14086,0
2020-09-09,3803,0
2021-04-30,10640,0
2020-07-02,3021,0
2020-04-23,1038,0
2020-08-14,3571,0
2021-05-19,10947,0
2021-02-01,7630,0
2021-12-23,18481,0
2022-06-14,25509,0
2022-03-24,20998,0
2022-09-22,28163,0
2020-09-17,3854,0
2020-06-29,2892,0
2020-12-11,6321,0
2022-10-27,29571,0
2022-06-16,25615,0
2022-03-16,20725,0
2021-04-16,10199,0
2021-07-26,13043,0
2020-03-16,42,-3
2021-10-15,15478,0
2021-05-28,11452,0
2020-11-24,5757,0
2020-12-18,6449,0
2020-03-26,98,0
2022-01-18,18959,0
2022-07-06,26027,0
2022-02-09,19116,0
2022-09-14,28076,0
2021-07-20,12879,0
2022-01-12,18841,0
2022-07-19,26207,0
2022-08-12,27135,0
2022-07-26,26433,0
2022-08-16,27219,0
2021-12-14,18284,0
2021-01-13,7076,0
2020-07-01,2951,0
2020-04-17,807,0
2022-09-26,28185,0
2022-11-18,31267,0
2020-10-19,4547,0
2021-07-15,12798,0
2022-12-13,31987,0
2020-05-22,1820,0
2021-06-07,11897,0
2022-07-14,26117,0
2020-07-23,3499,0
2022-07-15,26133,0
2021-08-27,14512,0
2021-01-07,6952,0
2022-07-08,26047,0
2021-02-02,7672,0
2022-03-08,20618,0
2020-10-27,4669,0
2020-11-09,5019,0
2022-12-06,31851,0
2022-01-26,19008,0
2020-03-23,64,0
2022-03-29,21114,0
2021-10-08,15316,0
2022-03-30,21155,0
2021-01-04,6813,0
2021-01-14,7129,0
2021-10-20,15582,0
2021-03-31,9642,0
2022-09-01,27810,0
2022-06-01,24569,0
2020-03-03,7,0
2021-05-12,10768,0
2022-08-05,26823,0
2021-10-22,15657,0
2020-06-12,2558,0
2020-03-09,31,0
2021-04-23,10488,0
2020-05-13,1549,0
2022-07-13,26100,0
2021-08-25,14341,0
2020-09-30,3982,0
2022-08-31,27760,0
2020-05-26,1874,0
2020-09-16,3844,0
2022-11-23,31363,0
2021-11-05,16235,0
2021-12-03,17969,0
2020-03-12,41,0
2021-10-29,15865,0
2022-11-30,31577,0
2021-01-20,7340,0
2022-12-15,32026,0
2020-08-25,3638,0
2022-06-13,25485,0
2021-06-17,12105,0
2022-08-29,27642,0
2020-10-15,4462,0
2020-06-16,2643,0
2020-02-24,1,-13
2022-05-09,22313,0
2021-12-31,18649,0
2020-06-23,2860,0
