method,change_index,change_date
PELT,4,2020-02-24
PELT,6,2020-02-26
PELT,106,2020-08-18
PELT,107,2020-08-19
PELT,129,2020-09-18
PELT,130,2020-09-21
PELT,424,2021-12-13
PELT,477,2022-03-08
PELT,675,2023-01-16
PELT,907,2024-01-05
PELT,927,2024-02-02
PELT,932,2024-03-05
PELT,969,2024-05-09
PELT,973,2024-05-15
PELT,1006,2024-07-02
PELT,1051,2024-09-03
PELT,1068,2024-10-23
PELT,1334,2025-12-22
PELT,1470,2026-07-20
PELT,1479,2026-07-31
PELT,1480,2026-08-03
CUSUM,424,2021-12-13
CUSUM,478,2022-03-09
CUSUM,675,2023-01-16
CUSUM,907,2024-01-05
CUSUM,927,2024-02-02
CUSUM,932,2024-03-05
CUSUM,957,2024-04-18
CUSUM,987,2024-06-04
CUSUM,1035,2024-08-12
CUSUM,1051,2024-09-03
CUSUM,1068,2024-10-23
CUSUM,1334,2025-12-22
CUSUM,1470,2026-07-20
CUSUM,1479,2026-07-31
CUSUM,1481,2026-08-05
