year,month,mean_return,n_days
2020,2,1.938981033875373,9
2020,3,4.8978277712772815,19
2020,4,2.0205893377358817,19
2020,5,3.3790426353325653,18
2020,6,7.438226744235617,18
2020,7,6.322012509948633,15
2020,8,5.143793501026672,18
2020,9,1.0583364505251778,22
2020,10,2.558404185069761,16
2020,11,1.4088467406448753,21
2020,12,2.57491932620882,23
2021,1,6.21372660465657,20
2021,2,6.807394871597792,15
2021,3,5.038956156169454,22
2021,4,2.7339514844664223,21
2021,5,3.790510086313687,18
2021,6,3.2799833532106684,21
2021,7,5.305013594306041,22
2021,8,5.498984410071945,22
2021,9,3.797448526940161,20
2021,10,6.727433203538231,16
2021,11,5.33531163425788,21
2021,12,-0.8695046558348467,23
2022,1,-1.1260576630073744,19
2022,2,-0.24503880154155397,14
2022,3,5.899986046810199,22
2022,4,6.9109263207909,19
2022,5,3.499514891621386,11
2022,6,5.592462880507947,21
2022,7,4.408824335899601,20
2022,8,2.1963253226735384,23
2022,9,6.7515502467281685,21
2022,10,9.390990055652152,16
2022,11,3.6617965994091914,19
2022,12,5.692040835902244,22
2023,1,4.190535974453038,16
2023,2,-0.23267404734978553,20
2023,3,1.8209081453992169,23
2023,4,3.1526903825910146,19
2023,5,3.203302704041419,20
2023,6,4.296624585036127,20
2023,7,1.076217031745244,21
2023,8,2.9425038302912303,23
2023,9,3.3452938942620563,20
2023,10,5.28000335552476,17
2023,11,1.5028223334763358,18
2023,12,1.0832340920181753,21
2024,1,8.70045158307347,22
2024,2,26.896578852485575,6
2024,3,2.545484269080799,15
2024,4,1.36042695418148,19
2024,5,-4.957524918214175,20
2024,6,-0.15043463948111638,19
2024,7,3.83132323008526,23
2024,8,4.967157463196125,22
2024,9,14.674840112358954,16
2024,10,4.289218532030486,6
2024,11,6.7416951546448605,20
2024,12,0.9919183248783489,19
2025,1,8.945231112506248,15
2025,2,5.716932200248437,17
2025,3,5.995637154206041,20
2025,4,6.034474439676703,17
2025,5,3.14899851192392,16
2025,6,5.010488411793032,20
2025,7,6.134453264634346,23
2025,8,5.32525881483792,21
2025,9,4.2726004572779095,22
2025,10,4.771774262291472,17
2025,11,3.301697392534309,20
2025,12,4.495933501762413,23
2026,1,1.3394616341151315,20
2026,2,-0.13483950001042164,14
2026,3,3.655230984489032,22
2026,4,1.894654908596801,20
2026,5,-3.0084889634173217,18
2026,6,4.270283409089565,21
2026,7,7.9659062371791265,23
2026,8,2.8459140615300447,14
