window,start_sigday,end_sigday,start_date,end_date,n_signal_days,calendar_days,mean_Q,min_Q
20,129,133,2020-09-18,2020-09-24,5,6,-0.6669791296220502,-0.9454796476456659
20,438,461,2021-12-31,2022-02-10,24,41,-2.636951154856983,-3.7007262238293945
20,476,477,2022-03-07,2022-03-08,2,1,-0.10936699729473848,-0.15205174756444984
20,694,694,2023-02-17,2023-02-17,1,0,-0.2684786079323828,-0.2684786079323828
20,701,702,2023-02-28,2023-03-01,2,1,-0.13901495054566376,-0.23267404734978586
20,704,711,2023-03-03,2023-03-14,8,11,-0.30718518624662045,-0.6393604342774261
20,890,898,2023-12-12,2023-12-22,9,10,-0.5281344554445002,-0.8577613745353487
20,970,1005,2024-05-10,2024-07-01,36,52,-2.7340345644246336,-5.279008580201441
20,1373,1375,2026-02-25,2026-02-27,3,2,-0.46986302685287556,-0.6678980991553246
20,1382,1389,2026-03-10,2026-03-19,8,9,-0.28017646018624043,-0.663875566874111
20,1422,1442,2026-05-12,2026-06-09,21,28,-1.9844061265815678,-3.178599614931044
60,468,483,2022-02-22,2022-03-16,16,22,-0.6008064538397129,-0.8999908000976115
60,991,1028,2024-06-11,2024-08-01,38,51,-0.9192076407905848,-1.2722604589031254
