sample,kind,threshold_pct,n_crossed,win_rate,mean_final_return,median_final_return,mean_recovery_days,mean_hold,p10_final
PRIMARY,cumulative_le,-5,214,67.7570093457944,2.3304181466779443,3.1387089305507887,7.655172413793103,41.046728971962615,-11.75223741676328
PRIMARY,cumulative_le,-7.5,182,62.637362637362635,1.4652031313435896,2.2355898632004676,9.333333333333334,43.7032967032967,-13.16632191822558
PRIMARY,cumulative_le,-10,155,58.70967741935483,0.4863246815610172,1.837573601773871,10.642857142857142,46.561290322580646,-16.80333941281771
PRIMARY,cumulative_le,-12.5,125,53.6,-0.5197367045304697,1.1120117479146117,10.222222222222221,49.848,-17.827977972110794
PRIMARY,cumulative_le,-15,113,51.32743362831859,-1.6367384280279058,0.4175574221779625,11.5,52.04424778761062,-17.973783486617886
PRIMARY,cumulative_le,-17.5,95,43.15789473684211,-2.777557317625954,-2.227087712436274,10.4,55.45263157894737,-18.904874093571948
PRIMARY,cumulative_le,-20,80,35.0,-4.240618414308797,-4.726659562267699,12.5,58.5,-19.446073739167566
PRIMARY,cumulative_le,-22.5,67,31.343283582089555,-5.394017177296657,-5.965240206705305,14.0,63.17910447761194,-20.962480252333137
PRIMARY,cumulative_le,-25,51,29.411764705882355,-6.556631928317327,-6.645958234266682,14.0,64.80392156862744,-22.229994518631575
PRIMARY,cumulative_le,-30,32,21.875,-9.486508112078553,-16.71565134188547,,73.5,-27.86333078201513
PRIMARY,cumulative_le,-35,17,11.76470588235294,-16.771216853768784,-18.715268930191936,,85.52941176470588,-28.96409413389616
PRIMARY,cumulative_le,-40,12,0.0,-23.462546255167364,-22.209367731851557,,91.08333333333333,-29.458171728286644
PRIMARY,cumulative_le,-50,4,0.0,-22.18064568699713,-22.209367731851557,,81.0,-24.5810032034549
PRIMARY,bin,-5~0,85,96.47058823529412,11.563033534848882,8.552942953591648,0.8979591836734694,18.811764705882354,3.2798790044486683
PRIMARY,bin,-10~-5,59,91.52542372881356,7.17507047029021,6.144996620188443,4.866666666666666,26.559322033898304,1.2128068345847032
PRIMARY,bin,-15~-10,42,78.57142857142857,6.198375428788358,5.4297421751737165,10.0,31.80952380952381,-2.4519582432301643
PRIMARY,bin,-20~-15,33,90.9090909090909,4.675697902350013,3.543179209088439,11.0,36.39393939393939,0.34648356878177666
PRIMARY,bin,-25~-20,29,44.827586206896555,-0.167629131052415,-1.1354409255495683,11.0,47.41379310344828,-10.144783846500404
PRIMARY,bin,-30~-25,19,42.10526315789473,-1.6221036188247386,-2.550959931032771,14.0,50.1578947368421,-9.397344877099448
PRIMARY,bin,-40~-30,20,35.0,-1.1008852262252653,-5.72239908558034,,62.95,-18.107487755779864
PRIMARY,bin,<=-40,12,0.0,-23.462546255167364,-22.209367731851557,,91.08333333333333,-29.458171728286644
SECONDARY,cumulative_le,-5,59184,66.76635577183022,2.827659198503964,2.979186476109305,6.0194409517361445,39.491281427412815,-9.298830233799674
SECONDARY,cumulative_le,-7.5,47935,60.089704808594966,1.5137455367812518,1.8337632865777744,7.40048231511254,43.323667466360696,-11.153072784341335
SECONDARY,cumulative_le,-10,38872,53.349454620292235,0.18557893151559476,0.639190270501669,8.908474576271187,46.95582938876312,-13.121110167683938
SECONDARY,cumulative_le,-12.5,31905,47.40322833411691,-0.9913777659728159,-0.5368150212766519,9.743625405656005,50.106942485503836,-14.937154862827965
SECONDARY,cumulative_le,-15,26222,42.43002059339486,-2.072975932342401,-1.7016650157520898,10.450795947901591,53.04698344901228,-16.677346026871078
SECONDARY,cumulative_le,-17.5,21667,38.49171551206905,-3.125950665517376,-2.9052857159316083,11.064308681672026,55.701850740757834,-18.469646061148655
SECONDARY,cumulative_le,-20,18010,35.2859522487507,-4.200583053190599,-4.226734758900719,11.52781954887218,58.1635202665186,-20.305393519495272
SECONDARY,cumulative_le,-22.5,14844,32.605766639719754,-5.331716090619269,-5.616306698249732,12.347368421052632,60.66323093505794,-22.049277621468963
SECONDARY,cumulative_le,-25,12232,29.99509483322433,-6.527260652705813,-6.800783561328382,13.090342679127726,63.18868541530412,-23.83751580290663
SECONDARY,cumulative_le,-30,8331,26.21534029528268,-8.778119974893087,-9.709729075390095,14.1875,67.7730164446045,-27.35149028092784
SECONDARY,cumulative_le,-35,5519,23.464395723863017,-11.156381435142517,-12.323387231010695,14.564705882352941,71.57401703207103,-31.235294133575266
SECONDARY,cumulative_le,-40,3519,21.14236999147485,-13.85510720067995,-14.76140958522634,15.696969696969697,75.2100028417164,-35.339037859828565
SECONDARY,cumulative_le,-50,1065,12.206572769953052,-22.402441828979953,-22.59176405966429,21.666666666666668,86.47136150234742,-44.5878145996961
SECONDARY,bin,-5~0,29862,99.24318531913468,10.14587577660277,8.786042373533359,0.8468700683850605,14.614225437010248,3.2354512673174636
SECONDARY,bin,-10~-5,20312,92.4428909019299,7.883928602716839,6.140651419264911,4.515222826886307,25.206035840882237,0.5118561334816298
SECONDARY,bin,-15~-10,12650,75.98418972332016,4.867304278557836,3.4737633648755732,7.920759962928638,34.329565217391306,-2.382841605757439
SECONDARY,bin,-20~-15,8212,58.09790550414028,2.5931473319630127,1.2373926368575425,9.451882845188285,41.82574281539211,-5.558724141144616
SECONDARY,bin,-25~-20,5778,46.48667358947733,0.7249829553365885,-0.6849420359126461,10.069767441860465,47.525268258913115,-9.321244200398533
SECONDARY,bin,-30~-25,3901,38.06716226608562,-1.7203114055532411,-3.1062842894187903,12.0,53.398359395026915,-13.627597723297194
SECONDARY,bin,-40~-30,4812,29.925187032418954,-5.0653356757359855,-6.91413055399947,13.795275590551181,62.33437240232752,-19.772126271181254
SECONDARY,bin,<=-40,3519,21.14236999147485,-13.85510720067995,-14.76140958522634,15.696969696969697,75.2100028417164,-35.339037859828565
