round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,000651.SZ,,2020-03-20,2020-04-13,TAKE_PROFIT_DYN,2,7800,34493.66542908002,8.77,15
1,600030.SH,,2020-03-17,2020-04-14,TAKE_PROFIT_DYN,2,17500,4823.841875580023,1.22,19
2,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,4400,-5868.628322039847,-1.02,31
3,601318.SH,,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,4,10700,-10473.55171829986,-1.35,33
4,600036.SH,,2020-03-20,2020-04-27,TAKE_PROFIT_DYN,1,6700,21357.455718600017,10.68,25
5,002475.SZ,,2020-03-18,2020-04-28,TAKE_PROFIT_DYN,1,5200,29602.222303680028,14.92,28
6,000858.SZ,,2020-03-18,2020-04-28,TAKE_PROFIT_DYN,2,3600,104932.64545848005,26.83,28
7,000063.SZ,,2020-03-18,2020-05-07,TAKE_PROFIT_DYN,1,4700,6387.973052219953,3.24,32
8,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,104500,18432.437134320033,4.61,35
9,002506.SZ,,2020-03-27,2020-05-21,TAKE_PROFIT_DYN,3,199200,-39117.525220439886,-6.52,35
10,600519.SH,,2020-03-19,2020-06-01,TAKE_PROFIT_DYN,1,200,78720.63413400005,39.55,48
11,000002.SZ,,2020-03-19,2020-06-02,TAKE_PROFIT_DYN,2,15600,18598.423802400008,4.68,49
12,002714.SZ,,2020-05-12,2020-06-18,TAKE_PROFIT_DYN,1,1700,-73422.30253895996,-37.35,27
13,000063.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,5300,16543.11587328001,8.36,17
14,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,14247.334767060034,7.16,17
15,600703.SH,,2020-06-16,2020-07-06,TAKE_PROFIT_DYN,1,8700,30812.556351060048,15.53,12
16,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,6613.851740760059,3.34,18
17,300059.SZ,,2020-09-10,2020-10-12,TAKE_PROFIT_DYN,1,8200,8055.582897240063,4.05,16
18,600276.SH,,2020-09-18,2020-10-12,TAKE_PROFIT_DYN,1,2300,15846.24763458001,7.96,10
19,000063.SZ,,2020-09-11,2020-10-13,TAKE_PROFIT_DYN,1,6000,16185.231259200023,8.17,16
20,000651.SZ,,2020-09-29,2020-10-14,TAKE_PROFIT_DYN,1,3700,14218.952334479982,7.19,5
21,600036.SH,,2020-10-09,2020-10-16,TAKE_PROFIT_DYN,1,5400,16118.250108480017,8.19,5
22,002456.SZ,,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,50100,2618.77709105995,0.33,34
23,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,7800,14866.723272960051,3.75,19
24,600030.SH,,2020-10-27,2020-11-23,TAKE_PROFIT_DYN,2,13800,20643.796275840024,5.22,19
25,000661.SZ,,2020-09-17,2020-12-01,TAKE_PROFIT_DYN,2,1100,38664.48027815996,10.37,47
26,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,4,6900,11117.874086820171,1.42,57
27,601012.SH,,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,2,5900,44963.39024784003,11.57,17
28,300122.SZ,,2020-11-12,2020-12-21,TAKE_PROFIT_DYN,2,3000,82452.34540584008,21.59,27
29,002475.SZ,,2020-11-17,2020-12-23,TAKE_PROFIT_DYN,3,11600,29345.778897120035,4.92,26
30,002241.SZ,,2020-11-17,2020-12-25,TAKE_PROFIT_DYN,1,5100,5507.658081720059,2.76,28
31,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,18683.3139607801,4.78,17
32,688981.SH,,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,7300,65205.12901518011,16.52,16
33,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,55426.922526240116,9.42,14
34,300059.SZ,,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,12400,-38707.94546747999,-9.76,28
35,000333.SZ,,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,4500,4382.700273900002,1.12,28
36,000858.SZ,,2021-03-09,2021-04-02,TAKE_PROFIT_DYN,1,800,31469.935962240037,16.23,18
37,600030.SH,,2021-03-02,2021-04-06,TAKE_PROFIT_DYN,3,23900,-10560.448961099959,-1.77,24
38,601012.SH,,2021-03-05,2021-04-06,TAKE_PROFIT_DYN,2,4300,11024.553726540064,2.82,21
39,002241.SZ,,2021-02-01,2021-04-13,TAKE_PROFIT_DYN,3,19900,-14184.394879679894,-2.38,45
40,300750.SZ,,2021-02-01,2021-04-14,TAKE_PROFIT_DYN,2,1100,9928.487663820037,2.68,46
41,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-140584.51383119996,-17.8,50
42,600438.SH,,2021-03-08,2021-04-20,TAKE_PROFIT_DYN,2,11200,-8252.4708314999,-2.08,30
43,300014.SZ,,2021-03-24,2021-04-20,TAKE_PROFIT_DYN,1,2900,39991.01686524003,20.34,18
44,601899.SH,,2021-03-25,2021-04-20,TAKE_PROFIT_DYN,1,21100,27297.941974380024,13.67,17
45,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,20247.208778700005,10.16,15
46,600276.SH,,2021-04-16,2021-05-17,TAKE_PROFIT_DYN,1,2400,5889.597156000091,2.98,18
47,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,7090.91782740003,1.81,22
48,600519.SH,,2021-05-07,2021-05-25,TAKE_PROFIT_DYN,2,200,47340.12107052014,12.31,12
49,600031.SH,,2021-03-10,2021-06-01,TAKE_PROFIT_DYN,4,25700,16114.22288100014,2.03,55
50,600009.SH,,2021-02-04,2021-06-03,TAKE_PROFIT_DYN,5,18900,-11233.624278239673,-1.14,76
51,002594.SZ,,2021-02-25,2021-06-08,TAKE_PROFIT_DYN,4,4300,121456.60024554038,16.16,69
52,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,31636.125431640074,5.29,19
53,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1300,18281.154200399993,3.54,38
54,002594.SZ,,2021-07-19,2021-08-02,TAKE_PROFIT_DYN,1,900,51106.96196046003,25.78,10
55,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,22300,26446.78991808009,4.43,35
56,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,20518.01914968004,10.27,9
57,600036.SH,,2021-07-09,2021-08-18,TAKE_PROFIT_DYN,2,8200,34594.774303679995,8.74,28
58,300782.SZ,,2021-07-14,2021-08-24,TAKE_PROFIT_DYN,2,800,15588.465829920082,4.7,29
59,601919.SH,,2021-07-26,2021-08-30,TAKE_PROFIT_DYN,2,21700,87454.90133982006,21.94,25
60,002460.SZ,,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,1,1200,47024.09293319998,24.03,9
61,300750.SZ,,2021-07-28,2021-09-14,TAKE_PROFIT_DYN,2,800,33891.29342352017,8.63,34
62,300760.SZ,,2021-08-23,2021-09-17,TAKE_PROFIT_DYN,1,700,50442.90326586002,25.24,19
63,600519.SH,,2021-07-27,2021-09-24,TAKE_PROFIT_DYN,3,300,10480.07024694013,2.09,41
64,002714.SZ,,2021-05-25,2021-09-27,TAKE_PROFIT_DYN,5,16800,-184862.92746851977,-18.72,86
