ts_code,signal_date,v1_entry,v2a_entry,v1_exit,v2a_exit,v1_type,v2a_type,v1_ret,v2a_ret,status,p2_rawhist_lt19,p2_rawhist_affected,entry_date_diff
000002.SZ,2020-03-18,2020-03-19,2020-03-19,2020-06-02,2020-06-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.681297620587952,4.681297620587952,MATCHED,19.0,False,0.0
000002.SZ,2022-03-04,2022-03-07,2022-03-07,2022-03-31,2022-03-31,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,14.88504791739044,14.88504791739044,MATCHED,19.0,False,0.0
000063.SZ,2020-03-17,2020-03-18,2020-03-18,2020-05-07,2020-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.2396956676295363,3.2396956676295363,MATCHED,19.0,False,0.0
000063.SZ,2020-05-25,2020-05-26,2020-05-26,2020-06-18,2020-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.355437860095789,8.355437860095789,MATCHED,19.0,False,0.0
000063.SZ,2020-09-10,2020-09-11,2020-09-11,2020-10-13,2020-10-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.16654508112372,8.16654508112372,MATCHED,19.0,False,0.0
000063.SZ,2023-07-20,2023-07-21,2023-07-21,2024-02-22,2024-02-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-20.144973123840867,-20.144973123840867,MATCHED,19.0,False,0.0
000063.SZ,2024-08-22,2024-08-23,2024-08-23,2024-09-23,2024-09-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.3955801711335427,3.3955801711335427,MATCHED,19.0,False,0.0
000063.SZ,2025-03-03,2025-03-04,2025-03-04,2025-05-07,2025-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.6037524048102836,2.6037524048102836,MATCHED,19.0,False,0.0
000100.SZ,2024-05-07,2024-05-08,2024-05-08,2024-09-27,2024-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.430946014868081,6.430946014868081,MATCHED,19.0,False,0.0
000333.SZ,2021-02-22,2021-02-23,2021-02-23,2021-04-02,2021-04-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.124921971714471,1.124921971714471,MATCHED,19.0,False,0.0
000333.SZ,2021-07-05,2021-07-06,2021-07-06,2021-10-22,2021-10-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.175030722164129,11.175030722164129,MATCHED,19.0,False,0.0
000568.SZ,2022-10-10,2022-10-11,2022-10-11,2022-12-01,2022-12-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.894426001503926,5.894426001503926,MATCHED,19.0,False,0.0
000568.SZ,2023-12-11,2023-12-12,2023-12-12,2024-02-21,2024-02-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.1120117479146117,1.1120117479146117,MATCHED,19.0,False,0.0
000625.SZ,2021-11-16,2021-11-17,2021-11-17,2022-05-06,2022-05-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-22.229994518631575,-22.229994518631575,MATCHED,19.0,False,0.0
000625.SZ,2022-08-24,2022-08-25,2022-08-25,2022-11-30,2022-11-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.31475867645841,2.31475867645841,MATCHED,19.0,False,0.0
000625.SZ,2022-12-28,2022-12-29,2022-12-29,2023-01-30,2023-01-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,15.403895272762636,15.403895272762636,MATCHED,19.0,False,0.0
000625.SZ,2024-01-04,2024-01-05,2024-01-05,2024-02-26,2024-02-26,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.686864654118965,12.686864654118965,MATCHED,19.0,False,0.0
000625.SZ,2024-04-16,2024-04-17,2024-04-17,2024-07-10,2024-07-10,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-3.5813249331349106,-3.5813249331349106,MATCHED,19.0,False,0.0
000628.SZ,2023-12-14,2023-12-15,2023-12-15,2024-02-23,2024-02-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,44.67924500816973,44.67924500816973,MATCHED,19.0,False,0.0
000628.SZ,2024-03-29,2024-04-01,2024-04-01,2024-05-21,2024-05-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-22.18874094507154,-22.18874094507154,MATCHED,19.0,False,0.0
000651.SZ,2020-03-19,2020-03-20,2020-03-20,2020-04-13,2020-04-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.76502998612771,8.76502998612771,MATCHED,19.0,False,0.0
000651.SZ,2020-09-28,2020-09-29,2020-09-29,2020-10-14,2020-10-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.18749636223901,7.18749636223901,MATCHED,19.0,False,0.0
000651.SZ,2020-12-09,2020-12-10,2020-12-10,2021-01-05,2021-01-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.778058019478602,4.778058019478602,MATCHED,19.0,False,0.0
000651.SZ,2021-05-25,2021-05-26,2021-05-26,2021-10-22,2021-10-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-19.03127753582529,-19.03127753582529,MATCHED,19.0,False,0.0
000651.SZ,2021-10-27,2021-10-28,2021-10-28,2021-12-09,2021-12-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.7666645298140864,3.7666645298140864,MATCHED,19.0,False,0.0
000651.SZ,2022-10-31,2022-11-01,2022-11-01,2022-11-14,2022-11-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.08646263720554,11.08646263720554,MATCHED,19.0,False,0.0
000651.SZ,2023-05-04,2023-05-05,2023-05-05,2023-06-09,2023-06-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.144996620188443,6.144996620188443,MATCHED,19.0,False,0.0
000651.SZ,2023-12-20,2023-12-21,2023-12-21,2024-01-29,2024-01-29,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.104633410839133,12.104633410839133,MATCHED,19.0,False,0.0
000661.SZ,2020-09-16,2020-09-17,2020-09-17,2020-12-01,2020-12-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,10.365131138225253,10.365131138225253,MATCHED,19.0,False,0.0
000661.SZ,2021-05-24,2021-05-25,2021-05-25,2021-07-19,2021-07-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.543179209088439,3.543179209088439,MATCHED,19.0,False,0.0
000661.SZ,2022-01-24,2022-01-25,2022-01-25,2022-02-24,2022-02-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.89884859958246,11.89884859958246,MATCHED,19.0,False,0.0
000661.SZ,2024-01-12,2024-01-15,2024-01-15,2024-02-28,2024-02-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.324721980411358,5.324721980411358,MATCHED,19.0,False,0.0
000725.SZ,2020-03-16,2020-03-17,2020-03-17,2020-05-11,2020-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.611959703094805,4.611959703094805,MATCHED,19.0,False,0.0
000725.SZ,2024-05-28,2024-05-29,2024-05-29,2024-07-10,2024-07-10,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.499483038676097,4.499483038676097,MATCHED,19.0,False,0.0
000792.SZ,2022-01-20,2022-01-21,2022-01-21,2022-02-16,2022-02-16,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,18.801769360068377,18.801769360068377,MATCHED,19.0,False,0.0
000858.SZ,2020-03-17,2020-03-18,2020-03-18,2020-04-28,2020-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,26.82736619482785,26.82736619482785,MATCHED,19.0,False,0.0
000858.SZ,2021-03-08,2021-03-09,2021-03-09,2021-04-02,2021-04-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,16.23467230378328,16.23467230378328,MATCHED,19.0,False,0.0
000858.SZ,2021-07-08,2021-07-09,2021-07-09,2021-09-27,2021-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-7.6342909419297795,-7.6342909419297795,MATCHED,19.0,False,0.0
000858.SZ,2021-11-01,2021-11-02,2021-11-02,2021-11-24,2021-11-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.772649549904674,7.772649549904674,MATCHED,19.0,False,0.0
000858.SZ,2022-01-28,2022-02-07,2022-02-07,2022-05-30,2022-05-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-8.807756178930596,-8.807756178930596,MATCHED,19.0,False,0.0
000858.SZ,2022-07-29,2022-08-01,2022-08-01,2022-09-27,2022-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.4673011477159523,-2.4673011477159523,MATCHED,19.0,False,0.0
000858.SZ,2022-10-24,2022-10-25,2022-10-25,2022-11-30,2022-11-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.014502136358589,13.014502136358589,MATCHED,19.0,False,0.0
000858.SZ,2023-04-10,2023-04-11,2023-04-11,2023-05-22,2023-05-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.6488868636941545,-2.6488868636941545,MATCHED,19.0,False,0.0
000858.SZ,2023-08-18,2023-08-21,2023-08-21,2023-11-01,2023-11-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.240903528696505,9.240903528696505,MATCHED,19.0,False,0.0
000858.SZ,2023-12-13,2023-12-14,2023-12-14,2024-02-06,2024-02-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.808164916171326,2.808164916171326,MATCHED,19.0,False,0.0
000858.SZ,2024-06-11,2024-06-12,2024-06-12,2024-07-17,2024-07-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-4.863606074584775,-4.863606074584775,MATCHED,19.0,False,0.0
000858.SZ,2024-08-22,2024-08-23,2024-08-23,2024-09-26,2024-09-26,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.447704740723928,9.447704740723928,MATCHED,19.0,False,0.0
000858.SZ,2025-01-06,2025-01-07,2025-01-07,2025-02-17,2025-02-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.2030252662316376,1.2030252662316376,MATCHED,19.0,False,0.0
000858.SZ,2025-06-13,2025-06-16,2025-06-16,2025-07-09,2025-07-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.9441509741563254,2.9441509741563254,MATCHED,19.0,False,0.0
000977.SZ,2023-08-18,2023-08-21,2023-08-21,2023-11-13,2023-11-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.706372017077919,7.706372017077919,MATCHED,19.0,False,0.0
000977.SZ,2024-04-10,2024-04-11,2024-04-11,2024-05-06,2024-05-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.570545419631626,12.570545419631626,MATCHED,19.0,False,0.0
