feature_id,n_pairs,ties_excluded,oriented_accuracy_pct,disc_direction
F01,756261,2,50.364093877642766,POSITIVE
F02,756262,1,51.46404288460877,NEGATIVE
F03,756223,40,53.42551072897809,NEGATIVE
F04,756247,16,53.55935296272249,NEGATIVE
F05,756256,7,53.48770786611941,NEGATIVE
F06,755967,20,53.99878566127887,NEGATIVE
F07,756261,2,54.620296432051894,NEGATIVE
F08,756262,1,54.357484575451366,POSITIVE
F09,756260,3,55.073387459339386,POSITIVE
F10,756261,2,50.187964208123915,POSITIVE
F11,756262,1,49.51207385800159,POSITIVE
F12,743312,12769,49.784881718578475,POSITIVE
F13,756248,15,54.12563074546974,POSITIVE
F14,738637,17626,49.446615861377104,POSITIVE
F15,756226,37,46.61410742291325,POSITIVE
F16,756250,13,46.537123966942154,POSITIVE
F17,755962,25,45.96950640376104,POSITIVE
