pred_a,pred_b,avg_same_day_rank_corr,n_days
F04,F04,1.0,630
F04,F05,0.6722135443286918,630
F04,F06,0.3579016391390926,629
F04,F07,0.7210042079532043,630
F04,F09,-0.6263704042513394,630
F04,F13,-0.5361012745680579,630
F05,F04,0.6722135443286918,630
F05,F05,1.0,630
F05,F06,0.3596508618724614,629
F05,F07,0.7598331338235714,630
F05,F09,-0.6445719475882418,630
F05,F13,-0.464596118113569,630
F06,F04,0.3579016391390926,629
F06,F05,0.3596508618724614,629
F06,F06,1.0,629
F06,F07,0.5413481985499297,629
F06,F09,-0.33067079176040126,629
F06,F13,-0.2975029660996418,629
F07,F04,0.7210042079532043,630
F07,F05,0.7598331338235714,630
F07,F06,0.5413481985499297,629
F07,F07,1.0,630
F07,F09,-0.7344853677583761,630
F07,F13,-0.5423344716753713,630
F09,F04,-0.6263704042513394,630
F09,F05,-0.6445719475882418,630
F09,F06,-0.33067079176040126,629
F09,F07,-0.7344853677583761,630
F09,F09,1.0,630
F09,F13,0.5656082722696507,630
F13,F04,-0.5361012745680579,630
F13,F05,-0.464596118113569,630
F13,F06,-0.2975029660996418,629
F13,F07,-0.5423344716753713,630
F13,F09,0.5656082722696507,630
F13,F13,1.0,630
