feature_id,n_episodes,n_signal_days,pooled_spearman,disc_direction,direction_match
F01,150,125,0.02538601715631806,POSITIVE,True
F02,150,125,-0.12630783590381794,NEGATIVE,True
F03,150,125,-0.13424774434419307,NEGATIVE,True
F04,150,125,-0.18208987066091828,NEGATIVE,True
F05,150,125,-0.16342237432774792,NEGATIVE,True
F06,150,125,-0.2029476865638473,NEGATIVE,True
F07,150,125,-0.2731552513445042,NEGATIVE,True
F08,150,125,0.2094795324236633,POSITIVE,True
F09,150,125,0.2159935997155429,POSITIVE,True
F10,150,125,-0.08887328325703366,POSITIVE,False
F11,150,125,-0.08810169340859593,POSITIVE,False
F12,150,125,-0.03677144474995431,POSITIVE,False
F13,150,125,0.15203697942130762,POSITIVE,True
F14,150,125,-0.05278372877368757,POSITIVE,False
F15,150,125,-0.06361349393306369,POSITIVE,False
F16,150,125,-0.05180852482332548,POSITIVE,False
F17,150,125,-0.11807280323569938,POSITIVE,False
