feature_id,r01_tertile,n_days,mean_cs_ic
F01,LOW,201,0.018656786546525875
F01,MID,203,0.005334085554450027
F01,HIGH,200,0.009641284148493861
F02,LOW,201,-0.024601038490664914
F02,MID,203,-0.04994185439102699
F02,HIGH,200,-0.012333882930478412
F03,LOW,201,-0.0005310436464961277
F03,MID,203,-0.05185646099937984
F03,HIGH,200,-0.04190573330676669
F04,LOW,201,-0.036662027644443616
F04,MID,203,-0.09418287392333025
F04,HIGH,200,-0.03488400518632277
F05,LOW,201,-0.03787962293818184
F05,MID,203,-0.08504729922963229
F05,HIGH,200,-0.048615890617822066
F06,LOW,201,-0.04419001027546075
F06,MID,203,-0.07701118584425566
F06,HIGH,200,-0.0028761380168911455
F07,LOW,201,-0.05814003898709082
F07,MID,203,-0.10625107615224254
F07,HIGH,200,-0.06419406626870523
F08,LOW,201,0.05984374106104226
F08,MID,203,0.0960287622736253
F08,HIGH,200,0.09293888436480331
F09,LOW,201,0.07378186296552199
F09,MID,203,0.13128376243372913
F09,HIGH,200,0.08376818106995573
F10,LOW,201,0.02609555506937415
F10,MID,203,0.00963619403929875
F10,HIGH,200,-0.00990555202832267
F11,LOW,201,-0.003913314365097327
F11,MID,203,0.012801013268370492
F11,HIGH,200,-0.03251570361797859
F12,LOW,201,0.007539732876017129
F12,MID,203,-0.03112464230122702
F12,HIGH,200,0.00827523521348727
F13,LOW,201,0.06983056891054584
F13,MID,203,0.07429208581329215
F13,HIGH,200,0.030802317639046242
F14,LOW,200,0.040146952961203394
F14,MID,203,0.01648449834356352
F14,HIGH,200,-0.0035522682315202326
F15,LOW,201,-0.0005310436464961277
F15,MID,203,-0.05185646099937984
F15,HIGH,200,-0.04190573330676669
F16,LOW,201,-0.03787962293818184
F16,MID,203,-0.08504729922963229
F16,HIGH,200,-0.048615890617822066
F17,LOW,201,-0.04419001027546075
F17,MID,203,-0.07701118584425566
F17,HIGH,200,-0.0028761380168911455
