pred_a,pred_b,avg_same_day_rank_corr,n_days
V01,V01,1.0,429
V01,V02,0.4010946651161221,429
V01,V03,0.7123685871036166,429
V01,V04,-0.6208950240084465,429
V01,V05,-0.548364974847075,429
V02,V01,0.4010946651161221,429
V02,V02,1.0,429
V02,V03,0.5773571632928793,429
V02,V04,-0.37244561441087237,429
V02,V05,-0.31925284451692787,429
V03,V01,0.7123685871036166,429
V03,V02,0.5773571632928794,429
V03,V03,1.0,429
V03,V04,-0.7521567161580185,429
V03,V05,-0.5426610649510022,429
V04,V01,-0.6208950240084465,429
V04,V02,-0.37244561441087237,429
V04,V03,-0.7521567161580185,429
V04,V04,1.0,429
V04,V05,0.5282409591378148,429
V05,V01,-0.548364974847075,429
V05,V02,-0.31925284451692787,429
V05,V03,-0.5426610649510022,429
V05,V04,0.5282409591378148,429
V05,V05,1.0,429
