date,all_eligible,oversold_all,top10_oversold,held_conflicts,pending_conflicts,available_slots,queueable_candidates,queued,executed_next,executed_ever,year,taxonomy,ranking_actionable
2020-01-02,3499,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-03,3500,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-06,3499,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-07,3502,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-08,3502,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-09,3501,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-10,3499,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-13,3498,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-14,3500,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-15,3499,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-16,3499,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-17,3503,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-20,3507,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-21,3508,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-22,3512,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-01-23,3514,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-03,3517,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-04,3519,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-05,3520,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-06,3525,24,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-07,3530,2,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-10,3530,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-11,3532,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-12,3533,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-13,3533,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-14,3534,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-17,3535,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-18,3536,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-19,3540,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-20,3540,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-21,3541,0,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-24,3543,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-25,3544,1,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-26,3545,3,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-27,3546,6,0,0,0,3,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-02-28,3546,125,2,0,0,3,2,2,2,2,2020,NO_CONTENTION,False
2020-03-02,3545,9,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-03,3546,6,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-04,3545,6,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-05,3550,0,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-06,3551,0,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-09,3551,115,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-10,3552,8,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-11,3552,14,0,0,0,1,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-12,3552,137,1,1,0,1,0,0,0,0,2020,HELD_CONFLICT_ONLY,False
2020-03-13,3554,404,1,1,0,1,0,0,0,0,2020,HELD_CONFLICT_ONLY,False
2020-03-16,3553,1210,4,2,0,1,2,1,1,1,2020,SOFT_CONTENTION,True
2020-03-17,3552,835,5,2,0,0,3,0,0,0,2020,FULL_BLOCK,False
2020-03-18,3553,921,5,1,0,0,4,0,0,0,2020,FULL_BLOCK,False
2020-03-19,3557,330,5,1,0,0,4,0,0,0,2020,FULL_BLOCK,False
2020-03-20,3559,36,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-23,3561,349,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-24,3561,43,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-25,3561,1,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-26,3564,8,1,0,0,0,1,0,0,0,2020,FULL_BLOCK,False
2020-03-27,3565,16,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
2020-03-30,3565,132,0,0,0,0,0,0,0,0,2020,NO_OVERSOLD_IN_TOP10,False
