date,b0_holdings,b1_holdings,b0_eq,b1_eq
2021-05-24,002594.SZ|600031.SH,002594.SZ|600519.SH,1125028.755239991,1098127.337541201
2021-05-25,000661.SZ|002594.SZ|600031.SH,002594.SZ|002714.SZ,1136887.9042411111,1121896.038158061
2021-05-26,000661.SZ|002594.SZ|600031.SH,000651.SZ|002594.SZ|002714.SZ,1137660.9042411111,1121395.468289061
2021-05-27,000661.SZ|002594.SZ|600031.SH,000651.SZ|002594.SZ|002714.SZ,1141256.9042411111,1131998.468289061
2021-05-28,000661.SZ|002594.SZ|600031.SH,000651.SZ|002594.SZ|002714.SZ,1134585.9247609512,1139916.468289061
2021-05-31,000661.SZ|002594.SZ|600031.SH,000651.SZ|002594.SZ|002714.SZ,1134111.9247609512,1124255.468289061
2021-06-01,000661.SZ|002594.SZ,000651.SZ|002594.SZ|002714.SZ,1187185.690977591,1163917.468289061
2021-06-02,000661.SZ|002594.SZ,000651.SZ|002594.SZ|002714.SZ,1190361.690977591,1159546.468289061
2021-06-03,000661.SZ|002594.SZ,000651.SZ|002594.SZ|002714.SZ,1173285.690977591,1091109.468289061
2021-06-04,000661.SZ|002594.SZ,000651.SZ|002594.SZ|002714.SZ,1186603.690977591,1113769.468289061
2021-06-07,000661.SZ|002594.SZ,000651.SZ|002594.SZ|002714.SZ,1183410.690977591,1107444.468289061
2021-06-08,000661.SZ|002340.SZ,000651.SZ|002714.SZ,1199840.9477570914,1152250.7597799608
2021-06-09,000661.SZ|002340.SZ,000651.SZ|002714.SZ,1198544.9477570914,1152690.7597799608
2021-06-10,000661.SZ|002340.SZ,000651.SZ|002714.SZ,1209840.0551962913,1149522.7597799608
2021-06-11,000661.SZ|002340.SZ,000651.SZ|002714.SZ,1195086.0551962913,1145715.7597799608
2021-06-15,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1179168.7505630914,1144771.4551467611
2021-06-16,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1151722.6992095313,1132788.4551467611
2021-06-17,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1149262.3132318514,1129179.401272681
2021-06-18,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1173957.3132318514,1121414.3070702811
2021-06-21,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1155660.3132318514,1084569.9809800412
2021-06-22,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1179136.3132318514,1094573.4188360611
2021-06-23,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1196532.3132318514,1121767.4188360611
2021-06-24,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1178215.3132318514,1116542.4188360611
2021-06-25,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1200835.3132318514,1149061.4188360611
2021-06-28,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1206811.3132318514,1176030.4188360611
2021-06-29,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1173598.3132318514,1146123.4188360611
2021-06-30,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1188715.3132318514,1161047.4188360611
2021-07-01,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1164603.3132318514,1143485.4188360611
2021-07-02,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1153294.3132318514,1114213.4188360611
2021-07-05,000661.SZ|002340.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1164015.3132318514,1093466.4188360611
2021-07-06,000661.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1179136.0482918513,1096741.4188360611
2021-07-07,000661.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1185464.0855805515,1088548.4188360611
2021-07-08,000661.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1194393.0855805515,1064401.4188360611
2021-07-09,000661.SZ|000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1204846.8873220114,1067817.8776509012
2021-07-12,000661.SZ|000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1212159.8873220114,1069446.8776509012
2021-07-13,000661.SZ|000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1214450.8873220114,1082528.8776509012
2021-07-14,000661.SZ|000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1219613.8873220114,1063312.8776509012
2021-07-15,000661.SZ|000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1225814.8873220114,1068781.8776509012
2021-07-16,000661.SZ|000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1197900.8873220114,1049419.8776509012
2021-07-19,000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1246224.4585414515,1049365.8776509012
2021-07-20,000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1259493.4585414515,1061692.8776509012
2021-07-21,000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1254821.4585414515,1038521.8776509011
2021-07-22,000858.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1286789.4585414515,1065614.8776509012
2021-07-23,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1280115.0719587314,1035177.8776509011
2021-07-26,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1249928.0719587314,1004627.8776509011
2021-07-27,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1192394.0445827316,958742.8776509011
2021-07-28,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1200649.0445827316,950496.8776509011
2021-07-29,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1198852.5900112116,964934.8776509011
2021-07-30,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1152070.5900112116,956780.8776509011
2021-08-02,000858.SZ|002241.SZ|600031.SH,000651.SZ|002714.SZ|600031.SH,1229128.5900112116,1013142.8776509011
2021-08-03,000858.SZ|002241.SZ,000651.SZ|002714.SZ,1252146.8339952116,1023837.8292109012
2021-08-04,000858.SZ|002241.SZ,000651.SZ|002714.SZ,1252641.8339952116,1014597.8292109012
2021-08-05,000858.SZ,000651.SZ|002714.SZ,1244384.2397276117,1004021.8292109012
2021-08-06,000858.SZ,000651.SZ|002714.SZ,1241693.2397276117,1003784.8292109012
2021-08-09,000858.SZ,000651.SZ|002714.SZ,1250916.2397276117,1034070.8292109012
2021-08-10,000858.SZ,000651.SZ|002714.SZ,1294363.2397276117,1044142.8292109012
2021-08-11,000858.SZ,000651.SZ|002714.SZ,1288153.2397276117,1040857.8292109012
2021-08-12,000858.SZ,000651.SZ|002714.SZ,1269109.2397276117,1027501.8292109012
2021-08-13,000858.SZ,000651.SZ|002714.SZ,1275733.2397276117,1021841.8292109012
2021-08-16,000858.SZ,000651.SZ|002714.SZ,1275503.2397276117,1035817.8292109012
2021-08-17,000858.SZ|002460.SZ|300750.SZ,000651.SZ|002460.SZ|002714.SZ,1246127.3936628117,1014729.4735861012
