hypothesis_id,regime_dimension,regime_bin,oversold_bin,forward_horizon,n_stock_events,n_event_days,n_non_tradable_t1,status,mean_raw_return,benchmark,mean_regime_excess,median_regime_excess,stock_event_win_rate,daily_raw_positive_rate,daily_excess_positive_rate,hac_effect,hac_se,hac_t,raw_p,boot_ci_lo,boot_ci_hi,boot_p,positive_boot_support,negative_boot_support,nullA_p,nullC_p,nullB_p,nullB_note,nw_lag,bh_q
P0001,TREND,UP,B1,5D,41199,269,17,VALID_SAMPLE,-0.0030632688105218546,-0.0005549212477501823,-0.0025083475627716723,0.00089420800257041,0.488288550692978,0.5055762081784386,0.5204460966542751,-0.003981591000294776,0.005154498946209425,-0.7724496681142606,0.44009987924112315,-0.01001609484087829,0.00403895794936031,0.7875,False,False,0.4254,0.4076,0.4,STRUCTURAL_INVARIANT,6.0,0.6287141132016045
P0002,TREND,UP,B1,10D,41190,269,17,VALID_SAMPLE,-0.0039920066840739505,-0.001027659277095657,-0.0029643474069782935,0.0016401596531044455,0.4570526826899733,0.5092936802973977,0.516728624535316,-0.004705416080509218,0.007905075874257796,-0.5952398377138926,0.551868907754526,-0.014759184584065861,0.007905753543516955,0.7205,False,False,0.5534,0.585,0.75,STRUCTURAL_INVARIANT,6.0,0.7525485105743537
P0003,TREND,UP,B2,5D,11905,262,4,VALID_SAMPLE,-0.006949397811931705,-0.002610906515525874,-0.004338491296405832,-0.0013088369094144746,0.4896262074758505,0.44274809160305345,0.4847328244274809,-0.006858856528464201,0.005683652682263487,-1.2067691169567905,0.22792242007141383,-0.013220838296409894,0.0029731988607712,0.8825,False,False,0.187,0.2056,0.65,STRUCTURAL_INVARIANT,6.0,0.506494266825364
P0004,TREND,UP,B2,10D,11898,262,4,VALID_SAMPLE,-0.007703081959638041,-0.004230534650693526,-0.0034725473089445152,0.003782958106461524,0.4623466128761136,0.49236641221374045,0.5305343511450382,-0.005489858605936667,0.008341735164224548,-0.6581195036592854,0.5106743720194117,-0.015963641039969178,0.007948618888693663,0.7475,False,False,0.524,0.5288,0.75,STRUCTURAL_INVARIANT,6.0,0.7125688911898768
P0005,TREND,UP,B3,5D,2366,228,0,VALID_SAMPLE,-0.010975994943294197,-0.006917841206622212,-0.004058153736671986,-0.00180429539995146,0.46787827557058326,0.4298245614035088,0.4824561403508772,-0.006277000384060976,0.006320950413755856,-0.9930469269938846,0.32106063119297984,-0.013034838006216545,0.004183289096093789,0.8385,False,False,0.273,0.263,1.0,STRUCTURAL_INVARIANT,6.0,0.5351010519882997
P0006,TREND,UP,B3,10D,2368,228,0,VALID_SAMPLE,-0.010892610929479608,-0.00878817028122094,-0.002104440648258668,-0.0007750804822899936,0.45396959459459457,0.4298245614035088,0.4956140350877193,-0.003255070067450451,0.010006132764723799,-0.3253075033069783,0.745054175144661,-0.015898386513970623,0.01096912270912373,0.6455,False,False,0.7508,0.726,1.0,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0007,TREND,UP,B4,5D,410,128,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,,,
P0008,TREND,UP,B4,10D,410,128,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,,,
P0009,TREND,SIDEWAYS,B1,5D,95562,279,48,VALID_SAMPLE,-0.0011751845361711618,-0.0005549212477501823,-0.0006202632884209795,0.00028905286379175696,0.48217910885079845,0.4910394265232975,0.5017921146953405,-0.0010065433274152903,0.004146376552110606,-0.2427525128905467,0.8082657835739221,-0.005639102904930611,0.004113404238744174,0.596,False,False,0.8216,0.8306,0.55,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0010,TREND,SIDEWAYS,B1,10D,95506,279,48,VALID_SAMPLE,-0.001915442615755492,-0.001027659277095657,-0.000887783338659835,0.0025969578260480507,0.4661068414549871,0.5125448028673835,0.5161290322580645,-0.0014406662660841445,0.006427244260616142,-0.22414991677102317,0.8227038038539597,-0.009675686195108392,0.007312135078287532,0.569,False,False,0.8488,0.8688,0.9,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
