ts_code,entry,exit,cls,comp_i,exit_i
600651.SH,2020-04-28,2020-06-02,SAME_DAY,98.0,98
000005.SZ,2020-04-29,2020-06-17,SAME_DAY,109.0,109
600653.SH,2020-04-29,2020-07-01,SAME_DAY,117.0,117
600602.SH,2020-06-29,2020-07-06,SAME_DAY,120.0,120
000004.SZ,2020-08-12,2020-10-15,SAME_DAY,187.0,187
000002.SZ,2020-10-28,2020-11-05,SAME_DAY,202.0,202
600653.SH,2020-10-26,2020-11-17,SAME_DAY,210.0,210
000001.SZ,2020-11-13,2020-11-18,SAME_DAY,211.0,211
000009.SZ,2020-12-11,2021-01-04,SAME_DAY,243.0,243
600602.SH,2020-12-09,2021-03-19,SAME_DAY,292.0,292
000005.SZ,2020-12-09,2021-03-22,SAME_DAY,293.0,293
600602.SH,2021-04-27,2021-05-28,COMP_NEVER_TOUCHED,,338
000004.SZ,2021-04-28,2021-06-02,SAME_DAY,341.0,341
600651.SH,2021-04-27,2021-06-03,SAME_DAY,342.0,342
600603.SH,2021-06-11,2021-08-25,SAME_DAY,400.0,400
600606.SH,2021-08-30,2021-09-01,COMP_NEVER_TOUCHED,,405
000002.SZ,2021-06-07,2021-09-28,COMP_NEVER_TOUCHED,,422
000009.SZ,2021-09-06,2021-10-28,SAME_DAY,439.0,439
000016.SZ,2021-09-29,2021-11-09,SAME_DAY,447.0,447
000011.SZ,2021-10-13,2021-12-13,SAME_DAY,471.0,471
000009.SZ,2021-12-20,2022-02-24,COMP_NEVER_TOUCHED,,518
600610.SH,2021-12-20,2022-02-24,COMP_NEVER_TOUCHED,,518
000002.SZ,2022-02-28,2022-03-31,SAME_DAY,543.0,543
600609.SH,2021-12-06,2022-04-06,SAME_DAY,545.0,545
000009.SZ,2022-04-07,2022-05-18,SAME_DAY,572.0,572
000019.SZ,2022-04-22,2022-05-23,SAME_DAY,575.0,575
600602.SH,2022-04-13,2022-06-06,SAME_DAY,584.0,584
000009.SZ,2022-07-11,2022-07-27,SAME_DAY,621.0,621
000001.SZ,2022-07-14,2022-08-26,SAME_DAY,643.0,643
000002.SZ,2022-08-03,2022-08-31,COMP_NEVER_TOUCHED,,646
600606.SH,2022-07-14,2022-09-01,SAME_DAY,647.0,647
600621.SH,2022-09-14,2022-11-02,COMP_NEVER_TOUCHED,,685
000009.SZ,2022-09-15,2022-11-10,SAME_DAY,691.0,691
600605.SH,2022-11-03,2022-11-30,SAME_DAY,705.0,705
000009.SZ,2022-12-20,2023-01-30,SAME_DAY,742.0,742
600606.SH,2022-12-26,2023-01-30,COMP_NEVER_TOUCHED,,742
000516.SZ,2023-02-01,2023-02-15,COMP_NEVER_TOUCHED,,754
000002.SZ,2023-02-06,2023-04-11,SAME_DAY,792.0,792
600610.SH,2023-02-09,2023-05-09,SAME_DAY,809.0,809
600633.SH,2023-05-15,2023-06-09,SAME_DAY,832.0,832
000519.SZ,2023-04-12,2023-07-04,SAME_DAY,847.0,847
600809.SH,2023-06-26,2023-07-25,SAME_DAY,862.0,862
000001.SZ,2023-06-26,2023-07-25,SAME_DAY,862.0,862
000032.SZ,2023-07-12,2023-08-22,SAME_DAY,882.0,882
000513.SZ,2023-08-08,2023-09-04,COMP_NEVER_TOUCHED,,891
600699.SH,2023-08-14,2023-09-12,SAME_DAY,897.0,897
000560.SZ,2023-09-26,2023-11-07,COMP_NEVER_TOUCHED,,931
000032.SZ,2023-08-28,2023-11-13,SAME_DAY,935.0,935
600633.SH,2023-09-20,2023-11-14,SAME_DAY,936.0,936
600690.SH,2023-12-01,2023-12-29,COMP_NEVER_TOUCHED,,969
000001.SZ,2023-11-17,2024-01-25,SAME_DAY,987.0,987
000568.SZ,2024-01-08,2024-02-21,SAME_DAY,1000.0,1000
