round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,000977.SZ,,2020-04-14,2020-05-07,TAKE_PROFIT_UB,1,5500,39917.11363199999,20.3,14
1,000725.SZ,,2020-04-29,2020-06-03,TAKE_PROFIT_UB,1,56900,44146.65621726008,22.08,22
2,000063.SZ,,2020-05-26,2020-06-19,TAKE_PROFIT_UB,1,5300,26590.370361480018,13.43,18
3,002714.SZ,,2020-05-12,2020-06-22,TAKE_PROFIT_UB,1,1700,-69215.8253868,-35.21,29
4,600703.SH,,2020-06-16,2020-07-07,TAKE_PROFIT_UB,1,8700,41055.36812621998,20.7,13
5,600030.SH,,2020-09-08,2020-10-13,TAKE_PROFIT_UB,1,6600,9379.59051348007,4.74,19
6,300059.SZ,,2020-09-10,2020-10-13,TAKE_PROFIT_UB,1,4500,6306.477693299996,5.78,17
7,002456.SZ,,2020-09-02,2020-10-29,TAKE_PROFIT_UB,4,50100,-1880.038250279962,-0.24,35
8,600030.SH,,2020-10-27,2020-12-01,TAKE_PROFIT_UB,2,11000,17273.81509920006,5.5,25
9,000661.SZ,,2020-10-26,2020-12-02,TAKE_PROFIT_UB,1,600,35232.48035999999,18.05,27
10,300122.SZ,,2020-11-12,2020-12-22,TAKE_PROFIT_UB,2,3000,82123.09079004003,21.51,28
11,002475.SZ,,2020-12-15,2020-12-24,TAKE_PROFIT_UB,1,4000,22688.604014400014,11.42,7
12,000651.SZ,,2020-12-10,2021-01-06,TAKE_PROFIT_UB,2,6300,23837.64530994004,6.1,18
13,300750.SZ,,2021-02-01,2021-04-20,TAKE_PROFIT_UB,2,1100,22121.883602280053,5.97,50
14,002475.SZ,,2021-01-29,2021-04-20,TAKE_PROFIT_UB,3,8200,-98541.26593791001,-24.89,51
15,600519.SH,,2021-05-07,2021-05-26,TAKE_PROFIT_UB,1,100,23551.633635480015,11.97,13
16,002594.SZ,,2021-05-06,2021-06-11,TAKE_PROFIT_UB,2,1900,116720.88575130008,40.31,26
17,000661.SZ,,2021-05-28,2021-07-20,TAKE_PROFIT_UB,1,400,-4082.4070790400147,-2.45,36
18,600031.SH,,2021-06-15,2021-08-04,TAKE_PROFIT_UB,2,9800,11777.783683680056,4.31,36
19,002241.SZ,,2021-07-23,2021-08-30,TAKE_PROFIT_UB,1,4300,49358.49353352003,29.89,26
20,000858.SZ,,2021-09-17,2021-09-28,TAKE_PROFIT_UB,2,1500,35953.758718200086,12.24,5
21,300750.SZ,,2021-08-17,2021-10-11,TAKE_PROFIT_UB,1,400,19272.139200000034,9.92,32
22,601318.SH,,2021-01-29,2021-10-22,TAKE_PROFIT_UB,5,13100,-266333.74241705984,-27.15,173
23,000858.SZ,,2021-11-02,2021-11-25,TAKE_PROFIT_UB,1,900,20923.145500680024,11.38,17
24,601919.SH,,2021-09-29,2021-12-01,TAKE_PROFIT_UB,2,24700,21693.800971440156,5.45,40
25,000651.SZ,,2021-10-28,2021-12-28,TAKE_PROFIT_UB,2,11100,21195.22675410012,5.36,43
26,600036.SH,,2021-11-29,2022-01-21,TAKE_PROFIT_UB,3,12100,26277.64813080011,4.42,38
27,000661.SZ,,2022-01-25,2022-02-28,TAKE_PROFIT_UB,1,1100,22807.153826820024,12.39,19
28,601012.SH,,2021-12-02,2022-03-02,TAKE_PROFIT_UB,4,10300,45356.35857695993,5.84,58
29,300059.SZ,,2022-01-06,2022-05-05,TAKE_PROFIT_UB,3,11900,-130641.51491243992,-33.03,75
30,000858.SZ,,2022-03-04,2022-05-31,TAKE_PROFIT_UB,3,3300,-23911.37846855994,-4.19,57
31,002415.SZ,,2022-05-09,2022-06-07,TAKE_PROFIT_UB,2,7300,5663.669018040033,2.27,20
32,300014.SZ,,2022-03-04,2022-06-07,TAKE_PROFIT_UB,3,5900,86340.70175094012,19.21,61
33,002241.SZ,,2022-06-24,2022-08-08,TAKE_PROFIT_UB,1,6200,6226.654861440067,3.12,31
34,600036.SH,,2022-07-14,2022-09-01,TAKE_PROFIT_UB,3,16800,-6906.994970400003,-1.17,35
35,601888.SH,,2022-08-09,2022-09-28,TAKE_PROFIT_UB,2,1800,25046.279632799968,7.5,35
36,002594.SZ,,2022-07-13,2022-11-07,TAKE_PROFIT_UB,5,3200,-34556.31736919982,-3.79,77
37,300750.SZ,,2022-09-02,2022-12-08,TAKE_PROFIT_UB,1,400,-23241.339354239957,-12.22,63
38,002241.SZ,,2022-11-14,2023-01-06,TAKE_PROFIT_UB,2,16300,32515.338148560084,11.84,38
39,300274.SZ,,2022-12-14,2023-04-19,TAKE_PROFIT_UB,2,2900,13377.91343706008,4.39,83
40,603799.SH,,2022-09-30,2023-07-20,TAKE_PROFIT_UB,5,13000,-167028.74970046978,-21.15,192
41,600036.SH,,2023-04-28,2023-07-26,TAKE_PROFIT_UB,1,100,61.03759781000099,1.88,58
42,600276.SH,,2023-08-01,2023-10-31,TAKE_PROFIT_UB,3,9800,53741.39432508004,12.76,59
43,300014.SZ,,2023-01-12,2023-11-07,TAKE_PROFIT_UB,4,7300,-168773.33264455997,-32.65,196
44,300308.SZ,,2023-07-21,2023-12-11,TAKE_PROFIT_UB,1,1500,-19710.149550299975,-10.09,95
45,601012.SH,,2023-11-03,2023-12-29,TAKE_PROFIT_UB,3,20800,23719.59931770008,5.18,40
46,601318.SH,,2023-11-10,2024-01-26,TAKE_PROFIT_UB,2,9200,-16569.764976599952,-4.21,54
47,002230.SZ,,2024-01-04,2024-02-19,TAKE_PROFIT_UB,2,9400,36468.74857823999,9.25,26
48,000568.SZ,,2023-12-12,2024-02-22,TAKE_PROFIT_UB,3,2700,-1991.5126327799517,-0.46,45
49,601318.SH,,2024-03-25,2024-05-20,TAKE_PROFIT_UB,2,8000,49236.43289201998,15.59,35
50,601012.SH,,2024-01-30,2024-05-23,TAKE_PROFIT_UB,4,30000,-14650.140497129993,-2.45,71
51,000977.SZ,,2024-05-29,2024-07-10,TAKE_PROFIT_UB,1,5400,9424.17546444002,4.72,29
52,000725.SZ,,2024-05-29,2024-07-11,TAKE_PROFIT_UB,2,99900,21980.300807520165,5.5,30
53,603019.SH,,2024-03-28,2024-07-22,TAKE_PROFIT_UB,2,9000,-1091.9339719199343,-0.27,76
54,601919.SH,,2024-07-15,2024-09-23,TAKE_PROFIT_UB,2,28000,-745.8089284800226,-0.2,48
55,601138.SH,,2024-07-19,2024-09-25,TAKE_PROFIT_UB,2,16600,-46493.81275967992,-11.63,46
56,601899.SH,,2024-07-24,2024-09-27,TAKE_PROFIT_UB,2,24900,45096.388791300065,11.31,45
57,600030.SH,,2025-01-02,2025-02-10,TAKE_PROFIT_UB,2,14200,3286.242542880005,0.83,21
58,300502.SZ,,2025-03-03,2025-05-09,TAKE_PROFIT_UB,1,2000,19723.929548400018,10.25,45
59,300059.SZ,,2025-01-03,2025-05-13,TAKE_PROFIT_UB,3,20300,-25434.70349111996,-5.42,82
60,600418.SH,,2024-11-28,2025-05-22,TAKE_PROFIT_UB,3,17500,104243.13470339996,17.61,114
61,688981.SH,,2025-05-12,2025-06-25,TAKE_PROFIT_UB,2,4600,-1318.79841588001,-0.34,31
62,600519.SH,,2025-06-16,2025-07-21,TAKE_PROFIT_UB,1,100,3149.611340039992,2.24,25
63,688256.SH,,2025-05-28,2025-07-28,TAKE_PROFIT_UB,2,600,53870.06540520006,15.43,42
64,300308.SZ,,2025-10-15,2025-10-27,TAKE_PROFIT_UB,1,500,78829.29426240001,45.64,8
65,002460.SZ,,2025-11-25,2025-12-23,TAKE_PROFIT_UB,1,3300,20000.61973800001,10.26,20
66,300750.SZ,,2025-11-24,2026-02-09,TAKE_PROFIT_UB,4,2000,17877.869123399956,2.48,53
67,002475.SZ,,2026-01-09,2026-04-09,TAKE_PROFIT_UB,5,19200,3083.9580961201573,0.31,57
68,601138.SH,,2025-11-25,2026-04-09,TAKE_PROFIT_UB,4,10400,-4911.161626799963,-0.85,88
69,601899.SH,,2026-03-17,2026-07-23,TAKE_PROFIT_UB,5,32300,54280.64299680013,5.46,87
70,300274.SZ,,2026-07-02,2026-08-12,TAKE_PROFIT_UB,2,2900,-28763.538289199932,-7.59,29
71,600487.SH,,2026-07-07,2026-08-25,FINAL_SETTLE,2,4800,-80987.04434699996,-20.74,35
71,300308.SZ,,2026-07-29,2026-08-25,FINAL_SETTLE,2,400,-37667.92431599996,-10.03,19
71,600276.SH,,2026-08-21,2026-08-25,FINAL_SETTLE,2,8300,-9625.774603499915,-2.44,2
