ts_code,entry_date,exit_date,entry_close_adj,return_pct,hold_days,levels_used,hit_mid,hit_upper,first_mid_date,first_upper_date,mae_pct,mfe_pct
300750.SZ,2020-03-02,2020-04-15,140.256,-4.33,31,3,True,True,2020-04-01,2020-04-15,-23.22,4.14
601318.SH,2020-03-02,2020-04-17,191.4376,-3.04,33,3,True,True,2020-03-05,2020-04-17,-16.11,3.61
000725.SZ,2020-03-17,2020-05-11,20.6516,13.64,35,2,True,True,2020-04-17,2020-05-11,-16.71,0.0
002415.SZ,2020-05-26,2020-06-18,582.4513,6.9,17,1,True,True,2020-06-08,2020-06-18,-0.76,8.38
002714.SZ,2020-05-12,2020-07-06,880.5633,-25.08,37,1,True,True,2020-05-29,2020-06-02,-2.76,29.49
002456.SZ,2020-09-02,2020-10-28,337.1181,-0.48,34,4,True,True,2020-10-09,2020-10-28,-13.58,0.79
300136.SZ,2020-10-13,2020-11-09,691.6911,1.51,19,2,True,True,2020-11-05,2020-11-09,-10.29,0.0
601012.SH,2020-11-16,2020-12-09,652.3168,11.56,17,2,True,True,2020-11-27,2020-12-09,-6.18,9.72
300122.SZ,2020-11-12,2020-12-21,568.7415,21.59,27,2,True,True,2020-12-03,2020-12-07,-12.27,15.27
002475.SZ,2020-12-15,2020-12-23,1697.933,8.52,6,1,True,True,2020-12-16,2020-12-22,0.0,10.19
000651.SZ,2020-12-10,2021-01-05,10145.091,4.77,17,2,True,True,2020-12-31,2021-01-05,-5.76,3.87
601318.SH,2021-01-29,2021-02-25,195.6439,9.42,14,3,True,True,2021-02-18,2021-02-25,-3.21,10.19
300059.SZ,2021-02-26,2021-04-02,1412.0016,-5.47,25,1,True,True,2021-03-29,2021-04-02,-10.9,4.67
300750.SZ,2021-02-01,2021-04-14,351.381,2.68,46,2,True,True,2021-02-03,2021-02-18,-17.57,17.79
002475.SZ,2021-01-29,2021-04-19,1791.0099,-17.8,50,4,True,True,2021-02-18,2021-04-19,-38.98,1.32
601166.SH,2021-04-16,2021-05-12,90.0986,10.12,15,1,True,True,2021-04-30,2021-05-12,0.0,8.43
600031.SH,2021-05-14,2021-06-01,1402.8192,13.93,12,1,True,True,2021-05-26,2021-06-01,-0.65,8.73
002594.SZ,2021-05-06,2021-06-08,153.0,34.99,23,2,True,True,2021-05-17,2021-05-26,-4.03,35.21
002340.SZ,2021-06-08,2021-07-06,231.5196,5.29,19,3,True,True,2021-07-02,2021-07-06,-7.94,1.35
000661.SZ,2021-05-25,2021-07-19,3227.7053,1.75,38,3,True,True,2021-06-02,2021-07-19,-17.99,2.69
600031.SH,2021-06-15,2021-08-03,1355.544,4.43,35,3,True,True,2021-06-25,2021-08-03,-9.74,5.86
002241.SZ,2021-07-23,2021-08-05,907.368,10.26,9,1,True,True,2021-08-04,2021-08-05,-3.11,6.11
002460.SZ,2021-08-17,2021-08-30,1544.7879,24.02,9,1,True,True,2021-08-19,2021-08-27,0.0,34.07
300750.SZ,2021-08-17,2021-09-14,481.92,9.86,20,1,True,True,2021-08-23,2021-09-14,0.0,10.47
000858.SZ,2021-07-09,2021-09-27,4737.538,-8.45,54,5,True,True,2021-07-20,2021-09-27,-27.44,5.62
600111.SH,2021-09-30,2021-10-25,871.8977,22.28,12,1,True,True,2021-10-21,2021-10-25,-4.34,17.6
002466.SZ,2021-09-23,2021-11-09,819.8304,5.28,28,2,True,True,2021-10-20,2021-11-09,-15.64,2.56
601919.SH,2021-09-29,2021-11-30,22.4282,3.04,39,2,True,True,2021-10-29,2021-11-30,-11.67,5.02
000651.SZ,2021-10-28,2021-12-09,6271.8315,3.77,30,2,True,True,2021-11-17,2021-12-09,-5.32,1.29
601012.SH,2021-12-02,2022-03-01,1137.8834,5.08,57,4,True,True,2021-12-13,2022-03-01,-21.63,5.47
002594.SZ,2021-12-17,2022-05-05,284.5596,-1.6,88,4,True,True,2022-01-17,2022-03-01,-23.72,0.36
000858.SZ,2022-03-04,2022-05-30,3126.1583,-6.34,56,2,True,True,2022-04-06,2022-04-14,-15.42,0.0
300750.SZ,2021-12-21,2022-06-02,606.4863,-18.13,106,3,True,True,2022-01-14,2022-02-07,-39.0,2.98
002415.SZ,2022-05-09,2022-06-08,743.1882,5.9,21,3,True,True,2022-05-31,2022-06-06,-8.03,5.24
002241.SZ,2022-06-24,2022-08-05,777.4077,2.84,30,1,True,True,2022-07-21,2022-08-01,-8.19,2.3
600036.SH,2022-07-14,2022-08-31,189.2947,-1.59,34,3,True,True,2022-08-26,2022-08-31,-6.06,3.92
601888.SH,2022-08-09,2022-09-26,434.7674,7.19,33,2,True,True,2022-08-26,2022-09-26,-8.79,1.89
300274.SZ,2022-09-01,2022-10-12,759.3344,13.21,23,2,True,True,2022-09-26,2022-10-12,-3.76,12.7
601899.SH,2022-09-27,2022-10-27,16.0674,8.5,17,2,True,True,2022-10-24,2022-10-27,-4.71,4.84
002594.SZ,2022-07-13,2022-11-04,316.0776,-4.59,76,5,True,True,2022-07-15,2022-11-04,-22.56,9.14
000858.SZ,2022-10-28,2022-11-30,2474.615,14.32,23,1,True,True,2022-11-04,2022-11-30,-2.91,14.08
600519.SH,2022-10-13,2022-12-01,12842.7445,4.87,35,3,True,True,2022-11-11,2022-12-01,-20.59,2.21
300274.SZ,2022-12-07,2023-01-03,720.8243,12.35,18,2,True,True,2022-12-27,2023-01-03,-13.73,8.93
002241.SZ,2022-11-14,2023-01-05,418.7828,8.52,37,2,True,True,2022-12-06,2023-01-05,-6.71,5.66
601012.SH,2022-12-23,2023-01-18,779.4504,11.32,17,1,True,True,2023-01-06,2023-01-18,0.0,10.34
300014.SZ,2023-01-12,2023-02-01,1512.8246,6.97,9,1,True,True,2023-01-30,2023-02-01,-1.79,6.13
300750.SZ,2023-02-20,2023-03-31,422.7826,3.62,29,3,True,True,2023-03-22,2023-03-31,-10.58,0.0
300059.SZ,2023-03-08,2023-04-03,1354.2539,6.66,18,2,True,True,2023-03-24,2023-04-03,-5.66,13.65
000858.SZ,2023-04-11,2023-05-22,3249.0345,-2.65,26,2,True,True,2023-05-09,2023-05-22,-6.94,0.0
600519.SH,2023-04-13,2023-06-16,13182.3284,6.52,43,2,True,True,2023-04-26,2023-06-16,-5.46,4.34
