label,n_trades,mean_levels,median_levels,pct_level1,pct_level2,pct_level3,pct_level4,pct_level5,pct_reach_level4plus,level1_mean_ret,level1_win_rate,level1_count,level2_mean_ret,level2_win_rate,level2_count,level3_mean_ret,level3_win_rate,level3_count,level4_mean_ret,level4_win_rate,level4_count,level5_mean_ret,level5_win_rate,level5_count
Amount_Control,76,2.08,2.0,35.5,31.6,26.3,2.6,3.9,6.6,4.26,74.1,27,7.21,87.5,24,-2.018,55.0,20,-2.105,0.0,2,-11.617,0.0,3.0
Random_seed42,86,2.0,2.0,44.2,29.1,14.0,8.1,4.7,12.8,7.891,92.1,38,2.394,60.0,25,0.632,66.7,12,-10.689,14.3,7,-15.772,0.0,4.0
Random_seed43,74,1.88,2.0,45.9,33.8,10.8,5.4,4.1,9.5,5.635,79.4,34,1.302,72.0,25,0.188,62.5,8,-16.615,0.0,4,-9.567,0.0,3.0
Random_seed44,80,1.68,1.0,56.2,26.2,13.8,1.2,2.5,3.8,4.882,73.3,45,-2.03,52.4,21,-5.09,36.4,11,-10.44,0.0,1,-11.95,0.0,2.0
Random_seed45,89,1.58,1.0,59.6,25.8,11.2,3.4,0.0,3.4,6.175,67.9,53,0.144,52.2,23,-5.452,40.0,10,-27.13,0.0,3,,,
Random_seed46,83,2.04,2.0,41.0,27.7,20.5,8.4,2.4,10.8,7.447,88.2,34,1.177,52.2,23,-0.245,58.8,17,-4.271,57.1,7,-20.145,0.0,2.0
Random_seed47,83,2.19,2.0,42.2,24.1,16.9,6.0,10.8,16.9,8.211,85.7,35,2.558,55.0,20,0.853,64.3,14,2.91,80.0,5,-10.353,11.1,9.0
Random_seed48,75,2.17,2.0,44.0,21.3,17.3,8.0,9.3,17.3,9.496,93.9,33,4.299,81.2,16,-7.425,53.8,13,-3.755,33.3,6,-0.123,42.9,7.0
Random_seed49,81,2.27,2.0,32.1,30.9,23.5,4.9,8.6,13.6,5.843,76.9,26,6.324,96.0,25,6.244,63.2,19,-0.178,50.0,4,-15.634,14.3,7.0
Random_seed50,87,2.13,2.0,39.1,27.6,20.7,6.9,5.7,12.6,9.258,94.1,34,2.551,70.8,24,2.994,72.2,18,-2.068,50.0,6,-21.186,0.0,5.0
Random_seed51,82,1.94,2.0,45.1,29.3,15.9,6.1,3.7,9.8,4.081,75.7,37,2.493,75.0,24,0.973,69.2,13,-4.434,20.0,5,-11.773,0.0,3.0
