label,n_trades,gross_pnl_est,net_pnl,total_costs_est,commission,stamp_duty,transfer_fee,slippage,cost_drag_pct,turnover_est
Amount_Control,76,390306.0,302951.0,87355.0,14455.0,14525.0,578.0,57797.0,8.74,57.8
Random_seed42,86,85887.0,-3193.0,89080.0,14748.0,14748.0,590.0,58994.0,8.91,58.99
Random_seed43,74,-123222.0,-191710.0,68488.0,11358.0,11297.0,454.0,45379.0,6.85,45.38
Random_seed44,80,-197330.0,-258760.0,61430.0,10206.0,10112.0,407.0,40705.0,6.14,40.71
Random_seed45,89,-28171.0,-99751.0,71579.0,11883.0,11825.0,474.0,47398.0,7.16,47.4
Random_seed46,83,226890.0,133962.0,92928.0,15380.0,15413.0,615.0,61519.0,9.29,61.52
Random_seed47,83,264706.0,169534.0,95172.0,15765.0,15789.0,630.0,62987.0,9.52,62.99
Random_seed48,75,319623.0,235593.0,84030.0,13921.0,13958.0,556.0,55595.0,8.4,55.6
Random_seed49,81,651549.0,543799.0,107750.0,17817.0,17953.0,713.0,71267.0,10.77,71.27
Random_seed50,87,209207.0,105589.0,103619.0,17159.0,17176.0,686.0,68598.0,10.36,68.6
Random_seed51,82,270034.0,190675.0,79360.0,13139.0,13177.0,525.0,52519.0,7.94,52.52
