hit_mid_20d,hit_mid_40d,hit_mid_60d,hit_mid_120d,hit_upper_20d,hit_upper_40d,hit_upper_60d,hit_upper_120d,days_to_mid,days_to_upper,ret_20d,ret_40d,mfe,mae,ts_code,entry_date,selected
False,True,True,True,False,True,True,True,21.0,30.0,-17.623472417992957,-5.081220149713294,53.469817853379496,-28.14719527048293,300750.SZ,2020-03-02,Amount
False,False,False,False,False,False,False,False,,,-14.139041872640279,-8.143546314520467,8.738180308756839,-18.07397373997771,601318.SH,2020-03-02,Amount
False,False,False,False,False,False,False,False,,,-10.861971751901468,-9.926139434336124,35.69568604697415,-21.62404340390286,000725.SZ,2020-03-17,Amount
False,False,False,False,False,False,False,False,,,-40.10467658418053,-23.07898783958032,7.531118554198146,-43.92448750009892,002714.SZ,2020-05-12,Amount
False,False,False,False,False,False,False,False,,,5.6748259731744355,0.9113422539102078,27.416536580095485,-19.73929107653134,000063.SZ,2020-05-26,Amount
False,False,False,False,False,False,False,False,,,6.515534483128715,18.338864376201492,76.1887284958789,-3.9002561369592015,002415.SZ,2020-05-26,Amount
False,False,False,False,False,False,False,False,,,2.753440514981542,-3.3845596449382453,6.8675595410899515,-22.395770951068183,600030.SH,2020-09-08,Amount
False,False,False,False,False,False,False,False,,,-7.615320459357166,1.3054224063398179,5.582490903591819,-40.12104103847223,002456.SZ,2020-09-02,Amount
False,False,False,False,False,False,False,False,,,-5.941106328327994,-12.846108393059009,4.426067640007636,-48.55096500788658,300136.SZ,2020-10-13,Amount
False,False,False,False,False,False,False,False,,,-7.6406381192275274,-7.875499815046405,12.314218107669017,-22.51241621518699,600745.SH,2020-09-09,Amount
False,False,False,False,False,False,False,False,,,13.917761855598076,61.494214094333664,87.61871720628447,-7.444617546231413,601012.SH,2020-11-16,Amount
False,False,False,False,False,False,False,False,,,4.03130703882586,10.783952889216074,72.75205997010512,-13.101935658326624,300122.SZ,2020-11-12,Amount
False,False,False,False,False,False,False,False,,,16.26505789929915,-2.6071205059531755,22.950978982107408,-37.999743447214264,002475.SZ,2020-12-15,Amount
False,False,False,False,False,False,False,False,,,-1.7517915155710218,-7.4311515256397005,5.060294036672008,-14.494953865032588,000651.SZ,2020-12-10,Amount
False,False,False,False,False,False,False,False,,,7.2884132302590166,-0.18830726795326935,11.494068510503407,-33.87143829621705,601318.SH,2021-01-29,Amount
False,False,False,False,False,False,False,False,,,-9.898480863079751,-1.9817467365372377,24.980573178039922,-14.213749874678728,300059.SZ,2021-02-26,Amount
True,True,True,True,True,True,True,True,1.0,7.0,-14.86028814513799,-9.184307354813859,65.22780080633555,-20.522078983486313,300750.SZ,2021-02-01,Amount
False,False,False,False,False,False,False,False,,,-13.715000647137487,-34.46448858675443,1.039360714066273,-40.42226235159494,002475.SZ,2021-01-29,Amount
