label,n_trades,win_rate,mean_hold_days,median_hold_days,p75_hold_days,p90_hold_days,winner_mean_hold,loser_mean_hold,mean_return_pct,median_return_pct,pf
Amount_Control,76,68.42,34.7,28.5,43.0,57.0,25.7,54.2,2.745,3.705,1.3045
Random_seed42,86,68.6,31.3,22.5,38.8,66.0,20.3,55.3,2.667,4.12,0.9971
Random_seed43,74,67.57,37.1,30.0,41.8,88.2,27.0,58.3,1.763,2.705,0.8407
Random_seed44,80,60.0,34.4,28.5,46.0,72.2,20.5,55.3,1.084,2.5,0.7406
Random_seed45,89,58.43,30.0,26.0,39.0,58.2,20.6,43.2,2.187,1.56,0.9115
Random_seed46,83,67.47,31.9,24.0,39.0,59.0,21.5,53.5,2.481,3.29,1.1227
Random_seed47,83,66.27,31.9,24.0,36.5,68.0,22.3,50.7,3.275,4.52,1.1551
Random_seed48,75,74.67,35.1,26.0,45.0,76.2,26.9,58.9,3.497,3.92,1.2401
Random_seed49,81,72.84,33.0,26.0,44.0,67.0,26.1,51.8,3.932,5.3,1.3568
Random_seed50,87,74.71,29.8,22.0,42.5,60.4,23.5,48.3,3.581,5.13,1.0699
Random_seed51,82,68.29,31.6,26.0,41.8,55.8,26.6,42.5,2.024,2.07,1.2673
