total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,sim_id,seed
-0.319,-0.064,0.128,-41.256,86,68.6,0.9971,0.4563,31.3,0,42
-19.171,-4.17,-0.0102,-60.408,74,67.57,0.8407,0.4035,37.1,1,43
-25.876,-5.817,-0.1257,-47.727,80,60.0,0.7406,0.4937,34.4,2,44
-9.975,-2.081,0.0677,-54.056,89,58.43,0.9115,0.6485,30.0,3,45
13.396,2.548,0.2292,-41.794,83,67.47,1.1227,0.5413,31.9,4,46
16.953,3.184,0.2556,-42.221,83,66.27,1.1551,0.5881,31.9,5,47
23.559,4.325,0.306,-39.266,75,74.67,1.2401,0.4207,35.1,6,48
54.38,9.08,0.5086,-46.089,81,72.84,1.3568,0.5059,33.0,7,49
10.559,2.029,0.2188,-49.52,87,74.71,1.0699,0.3621,29.8,8,50
19.067,3.555,0.2736,-39.53,82,68.29,1.2673,0.5884,31.6,9,51
37.142,6.525,0.3982,-32.356,89,67.42,1.4208,0.6867,29.6,10,52
-42.595,-10.513,-0.3292,-44.735,67,65.67,1.2954,0.6772,28.1,11,53
0.865,0.173,0.1321,-46.563,81,62.96,1.0089,0.5935,32.9,12,54
-35.506,-8.404,-0.1925,-58.991,84,73.81,0.7691,0.2729,32.7,13,55
-36.156,-8.589,-0.2348,-55.972,70,60.0,0.675,0.45,36.3,14,56
-38.611,-9.304,-0.2138,-51.773,76,65.79,0.6559,0.3411,36.2,15,57
8.981,1.736,0.203,-49.211,80,63.75,1.0805,0.6144,33.5,16,58
-4.051,-0.824,0.0892,-41.773,82,63.41,0.9703,0.5598,32.6,17,59
-6.81,-1.402,0.0601,-41.31,77,67.53,0.9375,0.4507,34.0,18,60
-34.377,-8.085,-0.2563,-55.484,74,59.46,0.6883,0.4693,36.6,19,61
5.117,1.004,0.163,-45.49,80,72.5,1.0422,0.3953,32.7,20,62
2.671,0.529,0.1489,-40.093,72,61.11,1.0301,0.6555,37.6,21,63
-4.372,-0.891,0.0837,-45.988,82,65.85,0.9579,0.4967,33.3,22,64
18.583,3.47,0.2733,-30.7,67,68.66,1.4139,0.6455,33.0,23,65
73.998,11.723,0.6525,-29.105,80,68.75,2.4814,1.1279,33.3,24,66
-5.054,-1.033,0.0868,-42.618,80,68.75,0.9499,0.4318,32.5,25,67
-4.566,-0.931,0.0913,-44.582,79,54.43,0.9579,0.802,35.8,26,68
-11.952,-2.515,-0.0028,-51.921,83,65.06,0.9028,0.4848,31.9,27,69
-35.394,-8.372,-0.1915,-50.424,71,64.79,1.0467,0.5689,32.1,28,70
28.8,5.196,0.3363,-28.592,87,68.97,1.2734,0.573,29.8,29,71
16.487,3.101,0.2549,-43.813,93,69.89,1.1517,0.4961,28.2,30,72
35.276,6.234,0.3987,-32.992,85,67.06,1.369,0.6725,31.2,31,73
31.127,5.573,0.353,-36.624,70,70.0,1.5733,0.6743,32.1,32,74
63.684,10.365,0.5543,-28.373,93,72.04,1.7433,0.6765,29.2,33,75
-15.556,-3.327,-0.0127,-37.539,78,69.23,0.8786,0.3905,35.6,34,76
-34.8,-8.204,-0.228,-67.572,80,61.25,0.731,0.4624,33.4,35,77
-28.998,-6.624,-0.1489,-49.127,81,61.73,0.7709,0.478,32.8,36,78
-39.487,-9.564,-0.1945,-43.15,68,64.71,0.7813,0.4262,31.3,37,79
-10.646,-2.228,0.0386,-39.784,81,75.31,0.9115,0.2989,32.5,38,80
-48.488,-12.433,-0.3462,-59.978,75,58.67,0.6021,0.4242,32.2,39,81
-37.116,-8.866,-0.2452,-65.588,76,57.89,0.7056,0.5132,33.8,40,82
-6.328,-1.3,0.0627,-31.096,80,70.0,0.9356,0.401,32.4,41,83
51.344,8.647,0.469,-33.704,87,70.11,1.5505,0.6609,32.1,42,84
-20.549,-4.499,-0.0643,-51.763,73,73.97,1.7517,0.6163,31.0,43,85
6.258,1.222,0.1673,-39.391,76,60.53,1.0693,0.6974,35.2,44,86
65.595,10.621,0.5794,-28.603,85,70.59,1.569,0.6537,32.1,45,87
63.735,10.372,0.5788,-24.619,83,73.49,1.6985,0.6126,32.5,46,88
-15.979,-3.425,-0.0257,-51.877,81,65.43,0.8516,0.4499,32.4,47,89
-42.842,-10.591,-0.3609,-71.613,80,61.25,0.7251,0.4587,34.1,48,90
55.402,9.224,0.4973,-37.125,80,70.0,1.7703,0.7587,34.0,49,91
-22.853,-5.06,-0.0996,-41.421,71,66.2,0.9698,0.4952,30.9,50,92
22.579,4.159,0.293,-44.251,84,70.24,1.238,0.5246,31.0,51,93
-21.866,-4.818,-0.0562,-55.27,82,64.63,0.8304,0.4544,31.9,52,94
-63.436,-18.238,-0.5698,-76.348,68,61.76,0.4861,0.3009,35.8,53,95
-51.687,-13.549,-0.3694,-65.117,69,47.83,0.4316,0.4708,34.4,54,96
-41.501,-10.175,-0.3195,-51.979,66,65.15,0.797,0.4263,33.1,55,97
-26.89,-6.076,-0.1192,-60.272,81,59.26,0.7988,0.5492,33.6,56,98
7.905,1.534,0.1895,-57.152,81,65.43,1.0809,0.5711,32.7,57,99
-15.571,-3.331,-0.023,-40.851,81,59.26,0.8418,0.5788,32.9,58,100
-52.535,-13.855,-0.3885,-72.635,80,61.25,0.5743,0.3634,31.9,59,101
-11.951,-2.515,0.0098,-39.757,78,65.38,0.8774,0.4645,34.9,60,102
-4.018,-0.817,0.0862,-52.279,90,73.33,0.9732,0.3539,29.9,61,103
-19.128,-4.16,0.0122,-60.138,79,60.76,0.8232,0.5316,32.0,62,104
65.332,10.586,0.5954,-35.208,66,77.27,3.3741,0.9924,26.5,63,105
-98.076,-54.646,-0.6691,-98.648,49,73.47,2.1079,0.7612,28.3,64,106
10.814,2.076,0.2072,-36.007,80,71.25,1.0991,0.4435,33.2,65,107
-3.161,-0.641,0.0865,-43.841,75,64.0,1.1993,0.6746,33.6,66,108
-21.817,-4.806,-0.0517,-44.761,86,61.63,0.8073,0.5027,29.8,67,109
36.695,6.456,0.3932,-33.755,88,68.18,1.295,0.6043,30.3,68,110
-7.063,-1.455,0.0614,-48.867,84,58.33,0.938,0.67,31.7,69,111
126.895,17.819,0.9833,-29.695,89,80.9,3.7174,0.8777,26.4,70,112
-54.031,-14.405,-0.3831,-62.082,80,62.5,0.5837,0.3502,29.9,71,113
62.269,10.173,0.5472,-35.679,83,71.08,1.733,0.705,30.0,72,114
63.776,10.377,0.5652,-24.422,80,68.75,1.8639,0.8472,33.5,73,115
-16.335,-3.506,-0.0093,-52.123,80,57.5,0.8355,0.6176,34.7,74,116
-21.995,-4.85,-0.084,-62.657,82,65.85,0.8663,0.4492,33.3,75,117
-31.668,-7.338,-0.1643,-59.037,76,64.47,0.6865,0.3782,33.8,76,118
109.508,15.954,0.8098,-31.969,86,74.42,1.9485,0.6698,30.5,77,119
22.621,4.166,0.3015,-38.16,86,63.95,1.1888,0.67,31.0,78,120
36.096,6.362,0.3909,-31.486,85,69.41,1.3703,0.6038,31.8,79,121
49.147,8.33,0.4569,-53.247,82,71.95,1.4353,0.5595,31.4,80,122
17.119,3.213,0.256,-42.438,89,68.54,1.1344,0.5207,30.2,81,123
8.23,1.596,0.1846,-30.324,74,66.22,1.0894,0.5558,36.8,82,124
-28.284,-6.437,-0.1207,-46.711,73,64.38,0.7334,0.4057,34.7,83,125
92.206,13.97,0.7596,-28.848,87,75.86,2.3027,0.7327,30.0,84,126
-24.913,-5.573,-0.0892,-48.283,75,62.67,0.7472,0.4451,34.9,85,127
53.408,8.942,0.509,-34.817,87,68.97,1.505,0.6772,30.4,86,128
-26.474,-5.969,-0.1098,-52.142,75,65.33,0.7791,0.4134,35.8,87,129
37.616,6.599,0.3968,-37.986,82,69.51,1.3999,0.614,32.1,88,130
-23.208,-5.148,-0.0875,-49.59,78,60.26,0.7672,0.506,34.7,89,131
-8.942,-1.857,0.0308,-47.263,84,65.48,0.9274,0.489,31.5,90,132
-9.753,-2.033,0.0444,-41.318,79,65.82,0.8903,0.4622,32.1,91,133
114.441,16.495,0.8599,-30.995,93,83.87,1.9104,0.3674,30.0,92,134
2.644,0.524,0.1499,-45.017,80,62.5,1.0221,0.6133,34.4,93,135
-17.646,-3.811,-0.0318,-42.432,67,62.69,0.8162,0.4858,41.9,94,136
89.422,13.638,0.7434,-37.006,86,77.91,2.0112,0.5704,30.9,95,137
-39.506,-9.57,-0.2892,-55.935,74,59.46,0.6724,0.4584,37.2,96,138
-44.293,-11.05,-0.4012,-57.86,54,57.41,1.063,0.7886,32.2,97,139
98.919,14.756,0.7954,-24.566,81,69.14,2.361,1.054,32.3,98,140
-21.984,-4.847,-0.0765,-47.188,82,60.98,0.8224,0.5263,33.7,99,141
54.203,9.055,0.5059,-39.287,82,73.17,1.7231,0.6318,31.5,100,142
11.235,2.154,0.2151,-42.054,83,57.83,1.1272,0.8219,32.2,101,143
-43.427,-10.775,-0.3228,-55.912,76,65.79,0.7816,0.4064,28.4,102,144
22.85,4.205,0.2979,-45.743,80,71.25,1.2343,0.498,33.3,103,145
-28.517,-6.498,-0.1487,-60.131,72,61.11,0.7097,0.4516,36.2,104,146
-13.673,-2.9,0.0257,-45.95,81,60.49,0.8714,0.5691,34.0,105,147
76.258,12.012,0.6877,-33.389,87,67.82,1.5462,0.7338,30.8,106,148
68.845,11.053,0.5892,-30.54,86,75.58,1.626,0.5253,30.3,107,149
58.1,9.601,0.4977,-39.178,95,72.63,1.6938,0.6382,27.6,108,150
31.916,5.7,0.3621,-41.49,83,68.67,1.306,0.5957,32.7,109,151
