total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,avg_exposure_pct,sim_id,seed
63.287,7.658,0.4257,-38.232,114,71.05,1.2223,0.498,31.7,64.13,0,42
22.444,3.094,0.2529,-34.534,112,69.64,1.0329,0.4502,33.8,67.57,1,43
10.23,1.477,0.1871,-50.963,108,64.81,0.9536,0.5177,34.0,72.18,2,44
9.646,1.395,0.1957,-55.577,120,64.17,0.9117,0.5091,29.5,64.06,3,45
53.145,6.624,0.3765,-47.868,109,70.64,1.5692,0.6521,31.9,64.4,4,46
-6.059,-0.936,0.0958,-51.483,110,65.45,0.964,0.5088,33.3,64.89,5,47
47.752,6.051,0.3747,-42.817,102,73.53,1.1844,0.4264,33.8,59.14,6,48
44.128,5.655,0.3497,-55.831,109,71.56,1.1667,0.4637,32.5,54.25,7,49
212.236,18.691,0.9155,-35.003,110,72.73,2.3943,0.8979,32.2,43.36,8,50
12.2,1.747,0.1949,-39.63,112,65.18,1.1756,0.628,30.8,65.27,9,51
81.031,9.343,0.5096,-34.413,117,71.79,1.2922,0.5076,30.5,58.51,10,52
-25.602,-4.353,-0.072,-51.497,88,64.77,1.3335,0.7253,27.5,74.45,11,53
-34.084,-6.08,-0.1068,-54.611,110,58.18,0.6404,0.4603,32.8,72.16,12,54
26.21,3.565,0.2705,-48.122,111,72.07,1.1208,0.4343,32.0,63.28,13,55
31.28,4.181,0.2944,-43.321,107,65.42,1.169,0.6179,32.0,65.0,14,56
-80.141,-21.594,-0.585,-80.505,66,56.06,0.3688,0.289,39.3,87.31,15,57
29.661,3.987,0.2889,-37.679,108,67.59,1.1305,0.542,34.1,62.59,16,58
-5.575,-0.86,0.1185,-54.487,111,66.67,0.9899,0.4949,30.9,64.22,17,59
-16.947,-2.756,0.0149,-53.248,110,63.64,0.9153,0.523,31.9,69.78,18,60
7.561,1.103,0.1708,-54.677,102,61.76,0.8471,0.5244,34.6,65.59,19,61
42.767,5.504,0.3471,-44.978,113,72.57,1.2725,0.4811,30.9,62.66,20,62
-36.681,-6.646,-0.1248,-55.653,54,59.26,1.044,0.7178,38.3,61.76,21,63
