round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,300254.SZ,,2020-03-16,2020-04-15,TAKE_PROFIT_DYN,2,42800,6808.188744000043,2.04,21
1,002252.SZ,,2020-03-16,2020-04-15,TAKE_PROFIT_DYN,1,23200,-8804.586319199996,-4.4,21
2,688012.SH,,2020-03-03,2020-04-17,TAKE_PROFIT_DYN,2,2400,-6274.962799199857,-1.61,32
3,000016.SZ,,2020-04-20,2020-05-15,TAKE_PROFIT_DYN,1,27200,20738.817218879994,10.4,16
4,002344.SZ,,2020-05-25,2020-05-29,TAKE_PROFIT_DYN,1,52700,10864.951741439989,5.43,4
5,002227.SZ,,2020-04-28,2020-06-19,TAKE_PROFIT_DYN,2,9400,-1255.0171453199582,-0.93,35
6,600061.SH,,2020-04-22,2020-06-22,TAKE_PROFIT_DYN,3,50600,21966.02790624008,3.67,40
7,002062.SZ,,2020-06-24,2020-07-03,TAKE_PROFIT_DYN,2,91400,28706.34262680012,7.18,5
8,603773.SH,,2020-07-02,2020-07-07,TAKE_PROFIT_DYN,1,6100,13002.152836500027,6.61,3
9,002851.SZ,,2020-06-15,2020-07-08,TAKE_PROFIT_DYN,1,8400,43046.327076479996,21.53,15
10,603882.SH,,2020-08-13,2020-08-25,TAKE_PROFIT_DYN,1,2300,39157.375670280046,20.23,8
11,603356.SH,,2020-07-17,2020-08-31,TAKE_PROFIT_DYN,1,15100,10600.669534500019,5.33,31
12,002790.SZ,,2020-08-27,2020-09-21,TAKE_PROFIT_DYN,2,52800,26703.34699428,7.75,17
13,000561.SZ,,2020-11-03,2020-11-27,TAKE_PROFIT_DYN,1,100,19.82543132000012,2.81,18
14,688088.SH,,2020-07-27,2020-12-11,TAKE_PROFIT_DYN,3,9300,89545.1483937602,15.18,93
15,300163.SZ,,2020-12-10,2021-02-01,TAKE_PROFIT_DYN,3,73800,-21152.41987907997,-7.55,36
16,600984.SH,,2020-09-07,2021-02-22,TAKE_PROFIT_DYN,5,63000,-164022.02692595986,-16.76,108
17,601005.SH,,2021-02-09,2021-02-22,TAKE_PROFIT_DYN,1,100,1.5653081199999974,1.11,4
18,002022.SZ,,2021-03-11,2021-04-06,TAKE_PROFIT_DYN,1,13800,12515.866800479998,6.26,17
19,002349.SZ,,2020-12-14,2021-04-14,TAKE_PROFIT_DYN,3,102300,-717.8361557399621,-0.16,80
20,300463.SZ,,2021-03-10,2021-04-19,TAKE_PROFIT_DYN,1,5200,31836.831521040032,16.13,27
21,000523.SZ,,2021-04-26,2021-05-27,TAKE_PROFIT_DYN,2,155700,42990.53787396004,10.75,20
22,300220.SZ,,2021-04-28,2021-05-27,TAKE_PROFIT_DYN,2,36100,23256.285317640053,5.83,18
23,000157.SZ,,2021-06-09,2021-08-04,TAKE_PROFIT_DYN,3,62300,-44501.11557192006,-7.43,39
24,603933.SH,,2021-08-19,2021-08-24,TAKE_PROFIT_DYN,1,14800,22480.419717359997,11.24,3
25,002044.SZ,,2021-04-12,2021-09-08,TAKE_PROFIT_DYN,3,39600,-101481.89098805992,-24.14,103
26,300463.SZ,,2021-06-16,2021-10-08,TAKE_PROFIT_DYN,1,4700,-59071.52628089997,-30.15,75
27,300693.SZ,,2021-10-13,2021-10-15,TAKE_PROFIT_DYN,1,6300,51601.920698160044,26.07,2
28,603737.SH,,2021-09-22,2021-10-22,TAKE_PROFIT_DYN,1,1900,19942.223910660046,9.98,17
29,600530.SH,,2021-10-26,2021-11-12,TAKE_PROFIT_DYN,2,92200,56274.98597892001,19.07,13
30,002599.SZ,,2021-10-27,2021-11-25,TAKE_PROFIT_DYN,1,32700,7127.187765480019,3.56,21
31,300456.SZ,,2021-09-03,2021-12-01,TAKE_PROFIT_DYN,3,23000,40926.1462504199,6.87,56
32,300896.SZ,,2021-12-02,2021-12-09,TAKE_PROFIT_DYN,1,300,16616.13112097999,10.28,5
33,300887.SZ,,2021-12-07,2021-12-31,TAKE_PROFIT_DYN,1,3100,12792.101186160027,6.48,18
34,600803.SH,,2021-12-16,2022-01-06,TAKE_PROFIT_DYN,1,11100,14469.55514082004,7.23,14
35,603813.SH,,2022-01-17,2022-02-25,TAKE_PROFIT_DYN,3,39700,42319.4865474602,7.08,24
36,603158.SH,,2022-01-20,2022-04-07,TAKE_PROFIT_DYN,4,47900,-102630.84085458005,-16.21,48
37,000050.SZ,,2022-03-01,2022-05-31,TAKE_PROFIT_DYN,2,30400,-46282.57839719992,-13.97,60
38,601882.SH,,2021-12-08,2022-06-01,TAKE_PROFIT_DYN,3,29200,-72718.84017828002,-12.17,114
39,603356.SH,,2022-06-15,2022-06-24,TAKE_PROFIT_DYN,1,15600,23764.747003920027,12.43,7
40,300081.SZ,,2022-04-11,2022-06-29,TAKE_PROFIT_DYN,3,66700,-7630.270204139873,-1.27,53
41,688012.SH,,2022-07-05,2022-07-06,TAKE_PROFIT_DYN,1,1800,30869.42823144002,15.43,1
42,301058.SZ,,2022-06-09,2022-07-12,TAKE_PROFIT_DYN,2,23200,23049.0958500001,5.8,23
43,688618.SH,,2022-07-13,2022-07-18,TAKE_PROFIT_DYN,1,5100,31722.664663619973,16.14,3
