feature_id,dropped_year,n,Y20_IC
F01,2020,448,-0.4594009645382195
F01,2021,404,-0.26187659295292637
F01,2022,438,-0.2701026431501957
F02,2020,448,-0.49305089930323476
F02,2021,375,-0.5437640232108317
F02,2022,409,-0.21335008927537857
F03,2020,448,-0.03225167998770037
F03,2021,404,-0.19774481997413965
F03,2022,438,-0.05479844784608761
F04,2020,448,-0.31935087453315875
F04,2021,404,-0.19156473132838508
F04,2022,438,-0.07127810490584517
F05,2020,448,-0.3945196473680726
F05,2021,405,-0.17691051535367
F05,2022,439,-0.21652984111404555
F06,2020,448,-0.44971781331476995
F06,2021,403,-0.2792701847126307
F06,2022,437,-0.2544192770696268
F07,2020,448,-0.4279052132170116
F07,2021,405,-0.17159856333574341
F07,2022,439,-0.2703754712538686
F08,2020,448,-0.1474368042758276
F08,2021,405,-0.04849136802021747
F08,2022,439,-0.0694139573410644
F09,2020,448,0.27624160006149806
F09,2021,405,0.07999552007745932
F09,2022,439,0.2061070813606152
F10,2020,448,0.24146917804940154
F10,2021,405,0.05938915965884773
F10,2022,439,0.19274953277954499
F11,2020,448,0.40399006421001604
F11,2021,405,0.05943881744496289
F11,2022,439,0.04378881018504072
F12,2020,448,0.32357540032500043
F12,2021,376,0.21377120605000283
F12,2022,410,-0.170210411721664
F13,2020,448,0.13308444033507932
F13,2021,405,0.0001387330851311732
F13,2022,439,0.2605532499141885
F14,2020,448,0.17857583869181437
F14,2021,405,0.034211706787792014
F14,2022,439,0.15665499819866843
F15,2020,448,-0.0816745212008362
F15,2021,404,-0.047409554851266765
F15,2022,438,0.07526595484506844
F16,2020,448,-0.02465303209219593
F16,2021,375,-0.1085331664580726
F16,2022,409,0.23097118983558593
F17,2020,448,-0.14440340417717434
F17,2021,405,-0.022524075067605284
F17,2022,439,-0.025585007247877406
F18,2020,448,0.22672260359914628
F18,2021,405,0.1281790453940358
F18,2022,439,0.23788174446503543
F19,2020,448,0.17857583869181437
F19,2021,405,0.034211706787792014
F19,2022,439,0.15665499819866843
F20,2020,448,0.19777813329899077
F20,2021,405,0.03572820160522216
F20,2022,439,0.17446983754965714
F21,2020,448,-0.16565896981433756
F21,2021,405,-0.043624879398838357
F21,2022,439,-0.14843747756092093
F22,2020,448,0.13929049501188223
F22,2021,405,0.004484077332144461
F22,2022,439,0.12068615106059481
F23,2020,448,0.13245234053084076
F23,2021,405,-0.012206983200779481
F23,2022,439,0.12469926973714386
F24,2020,448,0.08769020935019023
F24,2021,345,-0.1214474830067155
F24,2022,379,0.09029015427146123
F25,2020,448,0.3107559517581415
F25,2021,403,0.09779475389465744
F25,2022,437,0.17217279758060894
F26,2020,448,0.21974901079847192
F26,2021,403,0.013849147587865668
F26,2022,437,0.14500501803568477
F27,2020,448,-0.12785410299627922
F27,2021,403,-0.21441570994633619
F27,2022,437,-0.005625632201771146
