gate,side,group,n,mean_ret,med_ret,win_rate,pf,mae_mean,mae_med,mfe_mean,mfe_med,hold_mean,hold_med,total_pnl
G0,accepted,accepted,64072,5.023311276681059,5.35907485494255,77.42227494069172,1.767689448064449,-12.617847647037946,-8.776589466073382,8.872045020270363,7.143282298817921,32.54800849044825,25.0,727246899.8863906
G0,rejected,rejected,0,,,,,,,,,,,
G1,accepted,accepted,56349,5.286554331983984,5.5699277774918805,78.59766810413672,1.893897858073629,-12.483454223974588,-8.424908424908406,9.04259353252317,7.302232517625984,32.249942323732455,25.0,719296578.5807586
G1,rejected,rejected,7723,3.1026220466843455,3.638967398001705,68.84630325003236,1.0557350582629454,-13.598416725918836,-11.41788724870294,7.627679085150133,5.948585781323823,34.72277612326816,27.0,7950321.305632044
G2,accepted,accepted,64072,5.023311276681059,5.35907485494255,77.42227494069172,1.767689448064449,-12.617847647037946,-8.776589466073382,8.872045020270363,7.143282298817921,32.54800849044825,25.0,727246899.8863906
G2,rejected,rejected,0,,,,,,,,,,,
G2,tier_Q1-Q3,tier_Q1-Q3,47789,5.4588428022211595,5.73083854339345,78.77545041746008,1.9283232905129075,-12.765980121241515,-8.482640798868236,9.231921811418749,7.467590146573988,32.61200276214191,25.0,642746395.241277
G2,tier_Q4,tier_Q4,8560,4.32469759084329,4.755159358780242,77.60514018691589,1.681653094993824,-10.90616098746884,-8.151925743623405,7.985606485777765,6.434779629682907,30.228621495327104,25.0,76550183.33948153
G2,tier_Q5,tier_Q5,7723,3.1026220466843455,3.638967398001705,68.84630325003236,1.0557350582629454,-13.598416725918836,-11.41788724870294,7.627679085150133,5.948585781323823,34.72277612326816,27.0,7950321.305632044
G4,accepted,accepted,63544,5.051364733990986,5.37130589066819,77.53053002643837,1.78398272719239,-12.59298853090971,-8.749087648028254,8.88559522666293,7.155414417984263,32.50539783457132,25.0,731360573.9555361
G4,rejected,rejected,528,1.6471201946695508,3.306125021378773,64.39393939393939,0.7151333730556411,-15.609604607743952,-12.32938119800085,7.2412982115406646,5.743349115011187,37.67613636363637,29.0,-4113674.069145444
