statistic,observed,null_mean,null_p50,null_p5,null_p95,null_p1,null_p99,empirical_percentile,empirical_p
n_runs,317.0,443.4094,443.0,425.0,462.0,416.0,469.0,0.0,9.999000099990002e-05
max_pos,65.0,30.4096,29.0,23.0,42.0,21.0,49.01000000000022,99.94,0.0007999200079992001
max_neg,13.0,4.0077,4.0,3.0,5.0,3.0,6.0,100.0,9.999000099990002e-05
sum_sq,27386.0,12610.972,12544.0,11426.0,14004.199999999997,11024.0,14832.02,100.0,9.999000099990002e-05
mean_abs_diff,3.9827858419304225,5.797642478335477,5.798602529206976,5.672317257643543,5.917451105348923,5.622857232601426,5.969970876655494,0.0,9.999000099990002e-05
lag1_acf,0.4276536165448876,-0.0005017586414256699,-0.00041090795365904937,-0.042602258898100806,0.04140443775211568,-0.05954732926501242,0.05946891599223809,100.0,9.999000099990002e-05
lag5_acf,0.23690717816881168,-0.0008638127262015954,-0.0008215839860176162,-0.04317542683803052,0.0416341804892666,-0.06061659485342127,0.05878447042026954,100.0,9.999000099990002e-05
rv20,9.044110372267617,1.6764986935228452,1.6673862275848337,1.3383073739783125,2.050578944190738,1.2272078588538908,2.224639078765231,100.0,9.999000099990002e-05
rv60,3.754633441130847,0.5434564655928196,0.5319911253755465,0.35531382630185787,0.770832226187181,0.3016161420801277,0.8802680166864592,100.0,9.999000099990002e-05
max_roll_neg,36.0,2.2126,1.0,0.0,10.0,0.0,16.0,100.0,9.999000099990002e-05
