year,quarter,mean_return,median_return,n_days
2020,1,3.946769891398097,5.629064508925245,28
2020,2,4.238219022712892,5.910573177734227,55
2020,3,3.8309431378047907,4.0443431602976645,55
2020,4,2.162389883624357,3.376082589257467,60
2021,1,5.916534922856601,6.593699720659079,57
2021,2,3.2420302190810877,4.3251301296645455,60
2021,3,4.900576978673733,5.224715120543523,64
2021,4,3.3280311415304284,3.6623258055157737,60
2022,1,1.908619167474591,1.3702834462180271,55
2022,2,5.632234988108416,5.632892007670072,51
2022,3,4.3824144425121085,4.082702326215788,64
2022,4,6.053594292439622,5.934988305667975,57
2023,1,1.76738952522771,1.5688549315347071,59
2023,2,3.557621407640342,3.6582582997761572,59
2023,3,2.4560003695092116,2.1300895504413146,64
2023,4,2.4921209817656544,2.906963204889691,56
2024,1,9.092364464621902,7.0030723935451995,43
2024,2,-1.3131145583616655,-0.6767949104313852,58
2024,3,7.085169512787197,5.9433680178361685,61
2024,4,3.98701472128375,3.8246595118819124,45
2025,1,6.7553664841526535,6.388918312187851,52
2025,2,4.776977545304666,4.146411045385482,53
2025,3,5.2563647008833385,5.266365521672852,66
2025,4,4.1760096808362785,4.267215648491443,60
2026,1,1.8806528810877754,1.9739092969089889,56
2026,2,1.2443431935814424,0.8226395953699979,59
2026,3,6.028611900447041,2.0921745245084447,37
