episode_id,ts_code,MAE_intraday_pct,simple_return_pct,MFE_intraday_pct,hold_days,levels_used,first_recovery_after_MAE_days,exit_type
99,300274.SZ,-58.71768780135314,-25.58857835409347,11.294932012063509,96,5,,TAKE_PROFIT_DYN
65,002714.SZ,-56.674787136154556,-18.715268930191936,5.253279238826769,86,5,,TAKE_PROFIT_DYN
96,000625.SZ,-53.29984395047269,-22.229994518631575,1.866422260080003,111,5,,TAKE_PROFIT_DYN
209,000628.SZ,-52.386143922892245,-22.18874094507154,1.2743315900658914,31,3,,TAKE_PROFIT_DYN
194,000063.SZ,-49.07483926517601,-20.144973123840867,2.7279211759446254,141,5,,TAKE_PROFIT_DYN
290,600487.SH,-46.15313764249933,-17.707576907721744,2.01382541808075,30,2,,TAKE_PROFIT_DYN
175,300014.SZ,-44.47756544530738,-28.568832058383776,2.2096183386506096,172,5,,TAKE_PROFIT_DYN
13,002714.SZ,-43.62347609100854,-37.346517858183255,8.108341874575654,27,1,,TAKE_PROFIT_DYN
106,600276.SH,-42.610580908453244,-29.55698724716474,0.8140795374838028,91,5,,TAKE_PROFIT_DYN
103,300750.SZ,-41.8073675499418,-14.232912370394569,3.9884208201039995,106,5,,TAKE_PROFIT_DYN
68,601318.SH,-41.806961511395016,-28.116081051784203,0.023129579779834764,142,5,,TAKE_PROFIT_DYN
97,002475.SZ,-40.77681577681578,-17.15409169654668,5.912605912605895,60,5,,TAKE_PROFIT_DYN
195,000628.SZ,-39.99257906356613,44.67924500816973,13.16647390818584,43,3,,TAKE_PROFIT_DYN
261,300308.SZ,-39.080882819539795,0.7734206644023827,22.082998671020437,73,5,,TAKE_PROFIT_DYN
42,002475.SZ,-38.059996369034266,-17.795635461958412,5.04558609514878,50,4,,TAKE_PROFIT_DYN
189,300750.SZ,-37.07503801716453,-18.00484444688593,0.19141916853895324,101,5,,TAKE_PROFIT_DYN
226,002466.SZ,-36.23508901649407,-13.212317215788726,8.53601869532923,94,5,,TAKE_PROFIT_DYN
92,300059.SZ,-34.896564110047244,-5.7513210082683415,-0.04233738028034395,63,5,,TAKE_PROFIT_DYN
291,688525.SH,-34.73193473193472,-19.368418251981645,5.447885447885481,28,2,,FINAL_SETTLE
52,002594.SZ,-34.731811267010784,16.160298578230066,-0.06286062271601,69,4,,TAKE_PROFIT_DYN
