round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,000977.SZ,浪潮信息,2020-04-13,2020-04-30,TAKE_PROFIT_UB,1,5600,37504.33915058439,19.05,13
1,002714.SZ,牧原股份,2020-05-11,2020-06-02,TAKE_PROFIT_UB,1,1700,13543.49645334031,6.83,16
2,600703.SH,三安光电,2020-06-15,2020-07-06,TAKE_PROFIT_UB,1,8900,37368.54691429043,18.7,13
3,002456.SZ,欧菲光,2020-09-01,2020-10-28,TAKE_PROFIT_UB,5,60300,-29394.605144407833,-2.95,35
4,300122.SZ,智飞生物,2020-11-11,2020-12-07,TAKE_PROFIT_UB,1,1500,17181.03224697325,8.61,18
5,000651.SZ,格力电器,2020-12-09,2021-01-05,TAKE_PROFIT_UB,3,9400,28221.364876447944,4.83,18
6,601318.SH,中国平安,2021-01-28,2021-02-25,TAKE_PROFIT_UB,5,12500,103805.37543679017,10.54,15
7,002594.SZ,比亚迪,2021-02-26,2021-05-26,TAKE_PROFIT_UB,5,6100,154095.43210046447,16.03,59
8,000661.SZ,长春高新,2021-05-27,2021-07-19,TAKE_PROFIT_UB,4,1900,57123.6256790146,7.88,36
9,002241.SZ,歌尔股份,2021-07-22,2021-08-05,TAKE_PROFIT_UB,1,5200,21005.33064748894,10.58,10
10,300750.SZ,宁德时代,2021-08-16,2021-09-14,TAKE_PROFIT_UB,1,400,22391.53412195266,11.73,21
11,000858.SZ,五粮液,2021-09-16,2021-09-27,TAKE_PROFIT_UB,2,2000,45368.79675542016,11.6,5
12,601919.SH,中远海控,2021-09-28,2021-11-30,TAKE_PROFIT_UB,3,36500,17631.573865069542,2.96,40
13,601012.SH,隆基绿能,2021-12-01,2022-03-01,TAKE_PROFIT_UB,5,12800,29573.128052045126,3.0,58
14,000858.SZ,五粮液,2022-03-03,2022-04-14,TAKE_PROFIT_UB,5,5700,13323.818440817064,1.37,28
15,600036.SH,招商银行,2022-04-18,2022-06-15,TAKE_PROFIT_UB,5,24000,-18318.37179794151,-1.85,38
16,002241.SZ,歌尔股份,2022-06-23,2022-08-01,TAKE_PROFIT_UB,1,6100,3843.077272439463,1.93,27
17,300059.SZ,东方财富,2022-08-02,2022-11-15,TAKE_PROFIT_UB,5,50100,-47278.477569813374,-4.75,69
18,002812.SZ,恩捷股份,2022-11-23,2023-01-06,TAKE_PROFIT_UB,4,6000,95575.88903795322,12.38,31
19,300014.SZ,亿纬锂能,2023-01-11,2023-02-01,TAKE_PROFIT_UB,1,2400,19881.231417934556,9.98,10
20,300750.SZ,宁德时代,2023-02-17,2023-03-31,TAKE_PROFIT_UB,5,2100,10346.52458330954,1.21,30
21,000858.SZ,五粮液,2023-04-10,2023-05-22,TAKE_PROFIT_UB,3,3200,-13310.657251527067,-2.31,27
22,600809.SH,山西汾酒,2023-05-23,2023-07-25,TAKE_PROFIT_UB,5,4800,118118.79925374291,12.31,43
23,600276.SH,恒瑞医药,2023-07-31,2023-08-28,TAKE_PROFIT_UB,5,23200,6293.980800871737,0.64,20
24,002475.SZ,立讯精密,2023-09-07,2023-10-11,TAKE_PROFIT_UB,2,13400,26432.436212844565,6.65,18
25,600519.SH,贵州茅台,2023-10-13,2023-11-01,TAKE_PROFIT_UB,5,500,70381.07588344358,8.3,13
26,601012.SH,隆基绿能,2023-11-02,2023-12-28,TAKE_PROFIT_UB,4,36700,9073.1335010638,1.14,40
27,002230.SZ,科大讯飞,2024-01-03,2024-02-08,TAKE_PROFIT_UB,4,19000,38547.30861310882,4.89,26
28,601318.SH,中国平安,2024-03-22,2024-04-29,TAKE_PROFIT_UB,3,15000,40441.35030740127,6.81,24
29,000625.SZ,长安汽车,2024-05-06,2024-07-10,TAKE_PROFIT_UB,3,42400,7392.33621387172,1.24,46
30,601919.SH,中远海控,2024-07-12,2024-09-20,TAKE_PROFIT_UB,5,78500,19025.91643656208,1.91,48
31,600418.SH,江淮汽车,2024-11-27,2025-01-22,TAKE_PROFIT_UB,2,11600,80437.38679664634,20.22,39
32,000063.SZ,中兴通讯,2025-03-03,2025-05-07,TAKE_PROFIT_UB,2,12000,19.296115916629788,0.0,43
33,688981.SH,中芯国际,2025-05-09,2025-06-23,TAKE_PROFIT_UB,2,4600,-1487.148232652573,-0.38,30
34,300308.SZ,中际旭创,2025-10-14,2025-10-24,TAKE_PROFIT_UB,2,1000,129886.32235845941,37.09,8
35,300750.SZ,宁德时代,2025-11-21,2026-02-06,TAKE_PROFIT_UB,5,2500,25234.30169543682,2.82,53
36,601899.SH,紫金矿业,2026-03-16,2026-04-15,TAKE_PROFIT_UB,4,24600,79317.86356406752,9.99,21
37,600487.SH,亨通光电,2026-07-06,2026-08-18,TAKE_PROFIT_UB,3,7200,-101753.46519634878,-17.51,31
38,600276.SH,恒瑞医药,2026-08-20,2026-08-25,FINAL_SETTLE,4,16600,-19090.926420000033,-2.42,3
